term,estimate,std_error,p_value,ci_low,ci_high,n,repositories,r_squared_within
switched,0.14010903565310162,0.07169659873723228,0.05067832384124762,-0.00041371568589354535,0.2806317869920968,4768,893,0.015425403268564786
same_file,-0.021813172272045267,0.01818072526763452,0.23021834688576925,-0.05744673900942626,0.013820394465335728,4768,893,0.015425403268564786
switch_x_same_file,-0.1504731743225682,0.20719478400204913,0.4676915526678387,-0.5565674887511403,0.2556211401060039,4768,893,0.015425403268564786
log1p_gap_hours,0.011516119555520074,0.005351533668528561,0.03140296062916669,0.0010273063031505832,0.022004932807889566,4768,893,0.015425403268564786
log1p_current_files,0.006382871081899024,0.007064985237338415,0.3662863499089072,-0.007464245534591435,0.020229987698389483,4768,893,0.015425403268564786
log1p_prior_files,-0.0006566669446390148,0.00559589714354704,0.9065843449575395,-0.011624423807181778,0.010311089917903749,4768,893,0.015425403268564786
current_Copilot,0.3175212889054053,0.11734037795716569,0.006810214603235797,0.08753837417704294,0.5475042036337677,4768,893,0.015425403268564786
current_Cursor,-0.27379936034950686,0.14331486765233387,0.056072182293189096,-0.5546913393972057,0.007092618698191944,4768,893,0.015425403268564786
current_Devin,-0.026563518577944954,0.06529508933559006,0.6841382802281045,-0.15453954204302683,0.10141250488713693,4768,893,0.015425403268564786
current_Google_Jules,-0.041674328602748015,0.05244333821554152,0.4268145741509173,-0.14446138273426246,0.061112725528766426,4768,893,0.015425403268564786
current_OpenAI_Codex,-0.1541568947227613,0.15144404477187903,0.308719200179983,-0.4509817681487157,0.14266797870319306,4768,893,0.015425403268564786
prior_Copilot,-0.4895193433948745,0.11497598932298651,2.0665275918705916e-05,-0.7148681415547898,-0.2641705452349592,4768,893,0.015425403268564786
prior_Cursor,-0.03222926808241347,0.15879431655891074,0.8391644579430542,-0.34346040948753087,0.2790018733227039,4768,893,0.015425403268564786
prior_Devin,-0.026563518577945817,0.06529508933559011,0.6841382802280951,-0.1545395420430278,0.10141250488713618,4768,893,0.015425403268564786
prior_Google_Jules,-0.041674328602748556,0.052443338215541556,0.4268145741509114,-0.14446138273426307,0.061112725528765954,4768,893,0.015425403268564786
prior_OpenAI_Codex,0.08660054165377416,0.16140941650784024,0.5915942453163469,-0.22975610146721753,0.4029571847747659,4768,893,0.015425403268564786
month_2025-04,0.36277053880221966,0.1025304034794069,0.00040290250918352804,0.1618146406622219,0.5637264369422175,4768,893,0.015425403268564786
month_2025-05,0.2683103906638751,0.11301507485767658,0.017591236708459187,0.04680491423273081,0.48981586709501934,4768,893,0.015425403268564786
month_2025-06,0.44506033542412937,0.05279520801386029,3.458481179829481e-17,0.34158362916066276,0.548537041687596,4768,893,0.015425403268564786
month_2025-07,0.36715847485159686,0.0442845415672697,1.1239967594401843e-16,0.2803623683078813,0.4539545813953124,4768,893,0.015425403268564786
month_2025-08,0.393695743384069,0.05688465288456358,4.486301148541023e-12,0.28220387245726186,0.5051876143108761,4768,893,0.015425403268564786
month_2025-09,0.3512696421193201,0.04908182892721123,8.2572118561665e-13,0.2550710251266299,0.4474682591120103,4768,893,0.015425403268564786
month_2025-10,0.33063754287329794,0.04278927455266449,1.1001332444036985e-14,0.24677210582547932,0.41450297992111657,4768,893,0.015425403268564786
month_2025-11,0.4358386613545165,0.04009645989109925,1.6063310737108935e-27,0.35725104406040714,0.5144262786486258,4768,893,0.015425403268564786
month_2025-12,0.4224165161323267,0.04183164106375506,5.6371963080361255e-24,0.34042800623316,0.5044050260314934,4768,893,0.015425403268564786
month_2026-01,0.44506985124013665,0.04207534742570388,3.772213591580246e-26,0.36260368564874695,0.5275360168315263,4768,893,0.015425403268564786
month_2026-02,0.43614065752191666,0.04339541126217492,9.15077677665067e-24,0.35108721435374995,0.5211941006900833,4768,893,0.015425403268564786
month_2026-03,0.3442805224121642,0.1308663121403792,0.00851890748323235,0.08778726382744417,0.6007737809968843,4768,893,0.015425403268564786
switched_with_same_file,-0.010364138669466588,0.18929178811127517,0.9563358954611342,-0.3813760433675659,0.3606477660286327,4768,893,0.015425403268564786
