event_month,pairs,log_pr_estimate,log_pr_ci_low,log_pr_ci_high,pr_count_estimate,pr_count_ci_low,pr_count_ci_high,merged_count_estimate,merged_count_ci_low,merged_count_ci_high
-6,1,0.5596157879354227,,,15.0,,,14.0,,
-5,1,-0.8266785731844679,,,12.0,,,11.0,,
-4,1,-0.13353139262452252,,,12.0,,,13.0,,
-3,1,0.5596157879354227,,,15.0,,,14.0,,
-2,1,1.0296194171811581,,,18.0,,,17.0,,
-1,1,0.0,,,0.0,,,0.0,,
0,1,1.4350845252893225,,,29.0,,,29.0,,
1,1,0.810930216216329,,,17.0,,,18.0,,
2,1,1.1786549963416464,,,27.0,,,29.0,,
3,1,1.694595720774407,,,34.0,,,35.0,,
