event_index,n,merge_rate,median_resolution_hours,merge_ci_half_width
-10,8087,0.8516137010016075,0.23972222222222223,0.007747838709211115
-9,8793,0.855339474582054,0.25083333333333335,0.007352445459896092
-8,9604,0.8526655560183257,0.2525,0.007088780024751372
-7,10619,0.853093511630097,0.26611111111111113,0.006733379139252754
-6,11922,0.8484314712296595,0.26083333333333336,0.006437161645278491
-5,13583,0.8357505705661489,0.2702777777777778,0.0062308672223249
-4,15832,0.8295856493178373,0.2897222222222222,0.005856954877568337
-3,19044,0.818683049779458,0.3080555555555556,0.005472100778565811
-2,24725,0.7952275025278058,0.34305555555555556,0.005030016741502285
-1,38418,0.757561559685564,0.5326388888888889,0.004285469422627708
0,38418,0.7826799937529283,0.3811111111111111,0.0041241140421077365
1,28860,0.815003465003465,0.3516666666666667,0.004479911478824126
2,24015,0.8261503227149698,0.35583333333333333,0.004793262998936418
3,20773,0.8346411206855052,0.33055555555555555,0.005052078728338268
4,18443,0.8366860055305536,0.3522222222222222,0.005334985475173545
5,16733,0.8419291220940657,0.35777777777777775,0.005527552351020537
6,15248,0.8346668415529905,0.36333333333333334,0.00589638986871154
7,14061,0.8395562193300619,0.3786111111111111,0.006066445528518205
8,13070,0.844912012241775,0.37444444444444447,0.006206018993619527
9,12225,0.8484253578732106,0.3536111111111111,0.006356993002393956
10,11482,0.8398362654589793,0.37805555555555553,0.006708519794412088
