prior_agent,agent,n,next_merge_rate,prior_nonintegration_share
OpenAI_Codex,OpenAI_Codex,150314,0.8998097316284578,0.06020729938661735
Claude_Code,Claude_Code,104058,0.8986046243441158,0.08454900151838397
Copilot,Copilot,83806,0.8320883946256831,0.12979977567238624
Google_Jules,Google_Jules,25636,0.8306678108909347,0.10298018411608675
Cursor,Cursor,22722,0.8259836282017428,0.08331132822814893
OpenAI_Codex,Copilot,11716,0.7083475588938204,0.15500170706725844
Copilot,OpenAI_Codex,9890,0.8129423660262892,0.19919110212335692
Copilot,Claude_Code,7833,0.7845014681475807,0.39435720668964636
OpenAI_Codex,Claude_Code,7033,0.8275273709654486,0.22493957059576283
Claude_Code,Copilot,6422,0.5834630956088446,0.13843039551541575
Claude_Code,OpenAI_Codex,5998,0.7584194731577193,0.11770590196732245
Devin,Devin,5372,0.7751303052866716,0.174795234549516
OpenAI_Codex,Google_Jules,3259,0.7474685486345505,0.12918073028536362
Google_Jules,OpenAI_Codex,2708,0.854135893648449,0.17023633677991137
OpenAI_Codex,Cursor,2493,0.6803048535900521,0.16004813477737664
Google_Jules,Copilot,2256,0.75,0.2225177304964539
Copilot,Google_Jules,2220,0.6914414414414415,0.2072072072072072
Cursor,OpenAI_Codex,2128,0.7847744360902256,0.20300751879699247
Cursor,Claude_Code,1615,0.7603715170278638,0.3801857585139319
Cursor,Copilot,1604,0.6302992518703242,0.2300498753117207
Copilot,Cursor,1344,0.6696428571428571,0.2864583333333333
Claude_Code,Cursor,1202,0.5557404326123128,0.1788685524126456
Devin,Claude_Code,930,0.7978494623655914,0.3193548387096774
Google_Jules,Claude_Code,704,0.8806818181818182,0.3224431818181818
Claude_Code,Google_Jules,637,0.6075353218210361,0.09733124018838304
Claude_Code,Devin,617,0.7163695299837926,0.15883306320907617
Devin,OpenAI_Codex,393,0.7175572519083969,0.3333333333333333
Cursor,Google_Jules,385,0.6441558441558441,0.2051948051948052
OpenAI_Codex,Devin,272,0.6985294117647058,0.1948529411764706
Google_Jules,Cursor,233,0.7467811158798283,0.15450643776824036
Devin,Copilot,231,0.5324675324675324,0.3246753246753247
Devin,Cursor,180,0.5166666666666667,0.5
Copilot,Devin,109,0.7614678899082569,0.30275229357798167
Cursor,Devin,103,0.5825242718446602,0.27184466019417475
Devin,Google_Jules,30,0.5333333333333333,0.4666666666666667
Google_Jules,Devin,14,0.8571428571428571,0.14285714285714285
