threshold,transition_type,n,repositories,merge_rate_30d,median_similarity
0.1,brand_change_same_contributor,284,262,0.7359154929577465,0.20266867249749904
0.1,contributor_change_stable_agent,263,209,0.6349809885931559,0.2497500851908558
0.1,joint_reconfiguration,1413,1226,0.6383581033262562,0.21652679997976926
0.1,persistence,11565,3966,0.5233895373973195,0.48841236445862757
0.2,brand_change_same_contributor,145,136,0.7172413793103448,0.33271287469391436
0.2,contributor_change_stable_agent,157,134,0.6369426751592356,0.4917444113872669
0.2,joint_reconfiguration,770,699,0.6441558441558441,0.34417966809104306
0.2,persistence,9107,3263,0.5014823761941364,0.6916578855823137
0.3,brand_change_same_contributor,88,82,0.7159090909090909,0.41773776284943787
0.3,contributor_change_stable_agent,117,100,0.6153846153846154,0.6255016294798891
0.3,joint_reconfiguration,475,446,0.6463157894736842,0.4510295645531924
0.3,persistence,7616,2771,0.48122373949579833,0.8685197718901649
0.4,brand_change_same_contributor,49,45,0.7142857142857143,0.5519462393084751
0.4,contributor_change_stable_agent,95,81,0.631578947368421,0.8033104899954551
0.4,joint_reconfiguration,302,282,0.6721854304635762,0.5518306830300497
0.4,persistence,6532,2373,0.4588181261481935,0.9999999999999996
0.5,brand_change_same_contributor,31,27,0.8064516129032258,0.8381673367677667
0.5,contributor_change_stable_agent,79,68,0.620253164556962,0.8850482574602674
0.5,joint_reconfiguration,199,184,0.6633165829145728,0.632245541766978
0.5,persistence,5717,2049,0.4393912891376596,0.9999999999999998
0.6,brand_change_same_contributor,23,21,0.8260869565217391,0.9005340516915662
0.6,contributor_change_stable_agent,68,57,0.6323529411764706,0.9999999999999998
0.6,joint_reconfiguration,121,114,0.6859504132231405,0.7242971838202007
0.6,persistence,5074,1776,0.41899881750098544,0.9999999999999998
0.7,brand_change_same_contributor,20,18,0.8,0.9504363853951749
0.7,contributor_change_stable_agent,56,47,0.6428571428571429,1.0
0.7,joint_reconfiguration,71,68,0.676056338028169,0.8446816592264046
0.7,persistence,4561,1559,0.40254330190747645,0.9999999999999998
0.8,brand_change_same_contributor,18,16,0.7777777777777778,0.9725943672343732
0.8,contributor_change_stable_agent,52,43,0.6153846153846154,1.0
0.8,joint_reconfiguration,44,43,0.75,0.9379703387871333
0.8,persistence,4148,1389,0.38355834136933464,0.9999999999999998
0.9,brand_change_same_contributor,13,11,0.7692307692307693,0.9999999999999998
0.9,contributor_change_stable_agent,43,35,0.6046511627906976,1.0
0.9,joint_reconfiguration,27,26,0.7407407407407407,0.9999999999999998
0.9,persistence,3766,1204,0.36510886882634097,0.9999999999999998
