threshold_hours,ordered_product_pair,all_cohort_prs,exposed_prs,exposure_rate
1,Claude_Code -> Copilot,170,13,0.07647058823529412
1,Claude_Code -> Cursor,61,3,0.04918032786885246
1,Claude_Code -> Devin,1,0,0.0
1,Claude_Code -> OpenAI_Codex,29,3,0.10344827586206896
1,Copilot -> Claude_Code,1,0,0.0
1,Copilot -> Cursor,32,3,0.09375
1,Copilot -> Devin,2,0,0.0
1,Copilot -> OpenAI_Codex,57,5,0.08771929824561403
1,Cursor -> Claude_Code,11,4,0.36363636363636365
1,Cursor -> Copilot,82,1,0.012195121951219513
1,Cursor -> Devin,1,0,0.0
1,Cursor -> OpenAI_Codex,50,1,0.02
1,Devin -> Claude_Code,1,0,0.0
1,Devin -> Copilot,22,2,0.09090909090909091
1,Devin -> Cursor,37,2,0.05405405405405406
1,Google_Jules -> Copilot,10,1,0.1
1,Google_Jules -> OpenAI_Codex,4,0,0.0
1,OpenAI_Codex -> Claude_Code,5,1,0.2
1,OpenAI_Codex -> Copilot,405,19,0.04691358024691358
1,OpenAI_Codex -> Cursor,70,2,0.02857142857142857
1,OpenAI_Codex -> Devin,16,2,0.125
6,Claude_Code -> Copilot,170,16,0.09411764705882353
6,Claude_Code -> Cursor,61,4,0.06557377049180328
6,Claude_Code -> Devin,1,0,0.0
6,Claude_Code -> OpenAI_Codex,29,5,0.1724137931034483
6,Copilot -> Claude_Code,1,0,0.0
6,Copilot -> Cursor,32,4,0.125
6,Copilot -> Devin,2,0,0.0
6,Copilot -> OpenAI_Codex,57,5,0.08771929824561403
6,Cursor -> Claude_Code,11,5,0.45454545454545453
6,Cursor -> Copilot,82,2,0.024390243902439025
6,Cursor -> Devin,1,0,0.0
6,Cursor -> OpenAI_Codex,50,2,0.04
6,Devin -> Claude_Code,1,0,0.0
6,Devin -> Copilot,22,2,0.09090909090909091
6,Devin -> Cursor,37,2,0.05405405405405406
6,Google_Jules -> Copilot,10,1,0.1
6,Google_Jules -> OpenAI_Codex,4,0,0.0
6,OpenAI_Codex -> Claude_Code,5,1,0.2
6,OpenAI_Codex -> Copilot,405,29,0.07160493827160494
6,OpenAI_Codex -> Cursor,70,4,0.05714285714285714
6,OpenAI_Codex -> Devin,16,4,0.25
24,Claude_Code -> Copilot,170,18,0.10588235294117647
24,Claude_Code -> Cursor,61,5,0.08196721311475409
24,Claude_Code -> Devin,1,0,0.0
24,Claude_Code -> OpenAI_Codex,29,6,0.20689655172413793
24,Copilot -> Claude_Code,1,0,0.0
24,Copilot -> Cursor,32,4,0.125
24,Copilot -> Devin,2,0,0.0
24,Copilot -> OpenAI_Codex,57,6,0.10526315789473684
24,Cursor -> Claude_Code,11,5,0.45454545454545453
24,Cursor -> Copilot,82,2,0.024390243902439025
24,Cursor -> Devin,1,0,0.0
24,Cursor -> OpenAI_Codex,50,2,0.04
24,Devin -> Claude_Code,1,0,0.0
24,Devin -> Copilot,22,3,0.13636363636363635
24,Devin -> Cursor,37,2,0.05405405405405406
24,Google_Jules -> Copilot,10,1,0.1
24,Google_Jules -> OpenAI_Codex,4,0,0.0
24,OpenAI_Codex -> Claude_Code,5,1,0.2
24,OpenAI_Codex -> Copilot,405,36,0.08888888888888889
24,OpenAI_Codex -> Cursor,70,5,0.07142857142857142
24,OpenAI_Codex -> Devin,16,8,0.5
48,Claude_Code -> Copilot,170,19,0.11176470588235295
48,Claude_Code -> Cursor,61,5,0.08196721311475409
48,Claude_Code -> Devin,1,0,0.0
48,Claude_Code -> OpenAI_Codex,29,6,0.20689655172413793
48,Copilot -> Claude_Code,1,0,0.0
48,Copilot -> Cursor,32,4,0.125
48,Copilot -> Devin,2,0,0.0
48,Copilot -> OpenAI_Codex,57,6,0.10526315789473684
48,Cursor -> Claude_Code,11,5,0.45454545454545453
48,Cursor -> Copilot,82,2,0.024390243902439025
48,Cursor -> Devin,1,0,0.0
48,Cursor -> OpenAI_Codex,50,2,0.04
48,Devin -> Claude_Code,1,0,0.0
48,Devin -> Copilot,22,3,0.13636363636363635
48,Devin -> Cursor,37,2,0.05405405405405406
48,Google_Jules -> Copilot,10,1,0.1
48,Google_Jules -> OpenAI_Codex,4,0,0.0
48,OpenAI_Codex -> Claude_Code,5,2,0.4
48,OpenAI_Codex -> Copilot,405,39,0.0962962962962963
48,OpenAI_Codex -> Cursor,70,5,0.07142857142857142
48,OpenAI_Codex -> Devin,16,8,0.5
