threshold_hours,repo_id,all_cohort_prs,exposed_prs,exposure_rate
1,15231212,4,1,0.25
1,40765298,1,1,1.0
1,41117523,4,1,0.25
1,42267778,2,1,0.5
1,56342508,5,2,0.4
1,65600975,2,1,0.5
1,66571349,1,1,1.0
1,81518954,1,1,1.0
1,101895131,2,2,1.0
1,105889163,4,2,0.5
1,124952577,6,2,0.3333333333333333
1,127246132,3,1,0.3333333333333333
1,133100880,5,1,0.2
1,141427485,7,3,0.42857142857142855
1,225880766,11,1,0.09090909090909091
1,235901813,9,1,0.1111111111111111
1,275118967,5,1,0.2
1,307176956,4,1,0.25
1,336521419,1,1,1.0
1,355197825,23,4,0.17391304347826086
1,355476462,2,1,0.5
1,402945349,9,1,0.1111111111111111
1,426659329,1,1,1.0
1,428780722,8,4,0.5
1,470727349,3,1,0.3333333333333333
1,514553345,1,1,1.0
1,553878560,1,1,1.0
1,614258120,1,1,1.0
1,614765452,10,1,0.1
1,710601088,31,1,0.03225806451612903
1,721585564,1,1,1.0
1,839216423,11,1,0.09090909090909091
1,898949330,3,1,0.3333333333333333
1,912499477,2,1,0.5
1,914048456,2,1,0.5
1,922104035,2,1,0.5
1,945624059,1,1,1.0
1,955269110,1,1,1.0
1,965415649,3,2,0.6666666666666666
1,975734319,3,1,0.3333333333333333
1,989134268,2,1,0.5
1,1011567289,1,1,1.0
1,1017038703,1,1,1.0
1,1069120197,3,1,0.3333333333333333
1,1103012935,24,1,0.041666666666666664
1,1146928510,1,1,1.0
1,1148615527,5,1,0.2
1,1156147627,1,1,1.0
1,1161409602,1,1,1.0
6,15231212,4,2,0.5
6,23332350,1,1,1.0
6,40765298,1,1,1.0
6,41117523,4,1,0.25
6,42267778,2,2,1.0
6,56342508,5,2,0.4
6,65600975,2,1,0.5
6,66466789,3,1,0.3333333333333333
6,66571349,1,1,1.0
6,81518954,1,1,1.0
6,101895131,2,2,1.0
6,105889163,4,2,0.5
6,124952577,6,2,0.3333333333333333
6,127246132,3,1,0.3333333333333333
6,133100880,5,2,0.4
6,139199684,1,1,1.0
6,141427485,7,4,0.5714285714285714
6,220080707,1,1,1.0
6,225880766,11,2,0.18181818181818182
6,235901813,9,1,0.1111111111111111
6,275118967,5,1,0.2
6,306976345,6,1,0.16666666666666666
6,307176956,4,1,0.25
6,336521419,1,1,1.0
6,355197825,23,5,0.21739130434782608
6,355476462,2,1,0.5
6,398863403,1,1,1.0
6,402945349,9,1,0.1111111111111111
6,426659329,1,1,1.0
6,428780722,8,5,0.625
6,470727349,3,1,0.3333333333333333
6,514553345,1,1,1.0
6,553878560,1,1,1.0
6,593184777,1,1,1.0
6,614258120,1,1,1.0
6,614765452,10,1,0.1
6,644461337,1,1,1.0
6,651622038,3,1,0.3333333333333333
6,710601088,31,1,0.03225806451612903
6,721585564,1,1,1.0
6,722184017,2,1,0.5
6,762304524,3,1,0.3333333333333333
6,839216423,11,1,0.09090909090909091
6,898949330,3,1,0.3333333333333333
6,912499477,2,1,0.5
6,914048456,2,1,0.5
6,922104035,2,1,0.5
6,940076402,1,1,1.0
6,945624059,1,1,1.0
6,955269110,1,1,1.0
6,965415649,3,2,0.6666666666666666
6,975734319,3,1,0.3333333333333333
6,989134268,2,1,0.5
6,1011567289,1,1,1.0
6,1012625755,5,2,0.4
6,1017038703,1,1,1.0
6,1069120197,3,1,0.3333333333333333
6,1103012935,24,2,0.08333333333333333
6,1109079845,1,1,1.0
6,1146928510,1,1,1.0
6,1148615527,5,2,0.4
6,1156147627,1,1,1.0
6,1161409602,1,1,1.0
24,509028,3,1,0.3333333333333333
24,15231212,4,2,0.5
24,23332350,1,1,1.0
24,40765298,1,1,1.0
24,41117523,4,1,0.25
24,42009758,6,1,0.16666666666666666
24,42267778,2,2,1.0
24,56342508,5,2,0.4
24,65600975,2,1,0.5
24,66466789,3,1,0.3333333333333333
24,66571349,1,1,1.0
24,69797810,1,1,1.0
24,81518954,1,1,1.0
24,101895131,2,2,1.0
24,105889163,4,3,0.75
24,124952577,6,3,0.5
24,127246132,3,1,0.3333333333333333
24,133100880,5,3,0.6
24,139199684,1,1,1.0
24,141427485,7,4,0.5714285714285714
24,220080707,1,1,1.0
24,225880766,11,2,0.18181818181818182
24,235901813,9,1,0.1111111111111111
24,275118967,5,1,0.2
24,306976345,6,1,0.16666666666666666
24,307176956,4,1,0.25
24,336521419,1,1,1.0
24,355197825,23,5,0.21739130434782608
24,355476462,2,1,0.5
24,398863403,1,1,1.0
24,402945349,9,1,0.1111111111111111
24,426659329,1,1,1.0
24,428780722,8,5,0.625
24,430749584,2,1,0.5
24,462597790,24,1,0.041666666666666664
24,470727349,3,1,0.3333333333333333
24,476642602,22,1,0.045454545454545456
24,514553345,1,1,1.0
24,553878560,1,1,1.0
24,593184777,1,1,1.0
24,614258120,1,1,1.0
24,614765452,10,1,0.1
24,644461337,1,1,1.0
24,651622038,3,1,0.3333333333333333
24,707441527,4,1,0.25
24,710601088,31,1,0.03225806451612903
24,721585564,1,1,1.0
24,722184017,2,1,0.5
24,762304524,3,1,0.3333333333333333
24,824874689,15,1,0.06666666666666667
24,839216423,11,2,0.18181818181818182
24,898949330,3,1,0.3333333333333333
24,912499477,2,1,0.5
24,914048456,2,1,0.5
24,922104035,2,1,0.5
24,940076402,1,1,1.0
24,945624059,1,1,1.0
24,951127926,3,1,0.3333333333333333
24,955269110,1,1,1.0
24,965415649,3,2,0.6666666666666666
24,975734319,3,1,0.3333333333333333
24,989134268,2,1,0.5
24,1001215857,1,1,1.0
24,1005196133,1,1,1.0
24,1011567289,1,1,1.0
24,1012625755,5,3,0.6
24,1017038703,1,1,1.0
24,1024661423,5,1,0.2
24,1069120197,3,1,0.3333333333333333
24,1103012935,24,3,0.125
24,1109079845,1,1,1.0
24,1146928510,1,1,1.0
24,1148615527,5,2,0.4
24,1156147627,1,1,1.0
24,1161409602,1,1,1.0
48,509028,3,1,0.3333333333333333
48,15231212,4,2,0.5
48,23332350,1,1,1.0
48,40765298,1,1,1.0
48,41117523,4,2,0.5
48,42009758,6,1,0.16666666666666666
48,42267778,2,2,1.0
48,56342508,5,2,0.4
48,65600975,2,1,0.5
48,66466789,3,2,0.6666666666666666
48,66571349,1,1,1.0
48,69797810,1,1,1.0
48,81518954,1,1,1.0
48,101895131,2,2,1.0
48,105889163,4,3,0.75
48,124952577,6,3,0.5
48,127246132,3,1,0.3333333333333333
48,133100880,5,4,0.8
48,139199684,1,1,1.0
48,141427485,7,4,0.5714285714285714
48,220080707,1,1,1.0
48,225880766,11,2,0.18181818181818182
48,235901813,9,1,0.1111111111111111
48,275118967,5,1,0.2
48,306976345,6,1,0.16666666666666666
48,307176956,4,1,0.25
48,336521419,1,1,1.0
48,355197825,23,6,0.2608695652173913
48,355476462,2,1,0.5
48,398863403,1,1,1.0
48,402945349,9,1,0.1111111111111111
48,426659329,1,1,1.0
48,428780722,8,5,0.625
48,430749584,2,1,0.5
48,462597790,24,1,0.041666666666666664
48,470727349,3,1,0.3333333333333333
48,476642602,22,1,0.045454545454545456
48,514553345,1,1,1.0
48,553878560,1,1,1.0
48,593184777,1,1,1.0
48,614258120,1,1,1.0
48,614765452,10,1,0.1
48,644461337,1,1,1.0
48,651622038,3,1,0.3333333333333333
48,707441527,4,1,0.25
48,710601088,31,1,0.03225806451612903
48,721585564,1,1,1.0
48,722184017,2,1,0.5
48,762304524,3,1,0.3333333333333333
48,824874689,15,1,0.06666666666666667
48,839216423,11,2,0.18181818181818182
48,898949330,3,1,0.3333333333333333
48,912499477,2,1,0.5
48,914048456,2,1,0.5
48,922104035,2,1,0.5
48,940076402,1,1,1.0
48,945624059,1,1,1.0
48,951127926,3,1,0.3333333333333333
48,955269110,1,1,1.0
48,965415649,3,2,0.6666666666666666
48,975734319,3,1,0.3333333333333333
48,989134268,2,1,0.5
48,1001215857,1,1,1.0
48,1005196133,1,1,1.0
48,1011567289,1,1,1.0
48,1012625755,5,3,0.6
48,1017038703,1,1,1.0
48,1024661423,5,1,0.2
48,1069120197,3,1,0.3333333333333333
48,1103012935,24,3,0.125
48,1109079845,1,1,1.0
48,1146928510,1,1,1.0
48,1148615527,5,2,0.4
48,1151972675,1,1,1.0
48,1156147627,1,1,1.0
48,1161409602,1,1,1.0
