threshold_hours,prevalence_difference,outcome_difference_to_remove_point_estimate,outcome_difference_to_remove_interval,point_estimate_removable_within_unit_interval,interval_removable_within_unit_interval
48,0.05,3.469304720986602,1.4510875944485901,False,False
48,0.1,1.734652360493301,0.7255437972242951,False,True
48,0.15,1.1564349069955342,0.48369586481619675,False,True
48,0.2,0.8673261802466505,0.36277189861214754,True,True
48,0.25,0.6938609441973205,0.29021751888971803,True,True
48,0.3,0.5782174534977671,0.24184793240809838,True,True
48,0.35,0.49561496014094325,0.20729822777837004,True,True
48,0.4,0.43366309012332527,0.18138594930607377,True,True
48,0.45,0.3854783023318447,0.16123195493873224,True,True
48,0.5,0.34693047209866024,0.14510875944485901,True,True
48,0.55,0.3153913382715093,0.1319170540407809,True,True
48,0.6,0.28910872674888355,0.12092396620404919,True,True
48,0.65,0.26686959392204634,0.11162212264989155,True,True
48,0.7,0.24780748007047163,0.10364911388918502,True,True
48,0.75,0.23128698139910683,0.09673917296323935,True,True
48,0.8,0.21683154506166263,0.09069297465303688,True,True
