contrast,threshold_hours,repository_fixed_effects,exposure,estimate,ci_low,ci_high,p_value,n_prs,exposed_prs,control_prs,repositories,exposed_raw_merge_rate,control_raw_merge_rate,repositories_with_within_exposure_variation,prs_in_repositories_with_within_exposure_variation,repositories_with_both_exposure_and_outcome_variation,design_columns,design_rank,formula,interpretation,omitted_ordered_product_pair
exact_edge_vs_nonexact_discussion,48,False,exact_edge_by_48h,0.14707431631879547,0.029615481449310782,0.26453315118828014,0.014122219563972362,508,90,418,259,0.5222222222222223,0.37559808612440193,32,165,19,28,28,merged_from_48h_to_30d ~ exact_edge_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,observational later-merge probability difference; not a causal or semantic-resolution estimate,Claude_Code -> Copilot
exact_edge_vs_nonexact_discussion,48,False,exact_edge_by_48h,0.1402396246272582,0.023347600867427584,0.2571316483870888,0.01870089112579036,572,104,468,285,0.5480769230769231,0.3974358974358974,35,192,22,28,28,merged_from_48h_to_30d ~ exact_edge_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,observational later-merge probability difference; not a causal or semantic-resolution estimate,Claude_Code -> Cursor
exact_edge_vs_nonexact_discussion,48,False,exact_edge_by_48h,0.12367835602965829,0.014094990683320832,0.23326172137599577,0.02696242847275414,597,103,494,296,0.5533980582524272,0.41700404858299595,36,199,22,28,28,merged_from_48h_to_30d ~ exact_edge_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,observational later-merge probability difference; not a causal or semantic-resolution estimate,Claude_Code -> OpenAI_Codex
exact_edge_vs_nonexact_discussion,48,False,exact_edge_by_48h,0.1339326745693949,0.022301130393031735,0.24556421874575807,0.018697150201939766,593,105,488,291,0.5523809523809524,0.4098360655737705,34,197,21,28,28,merged_from_48h_to_30d ~ exact_edge_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,observational later-merge probability difference; not a causal or semantic-resolution estimate,Copilot -> Cursor
exact_edge_vs_nonexact_discussion,48,False,exact_edge_by_48h,0.11787262218815661,0.004589568599834018,0.23115567577647922,0.041413084901274114,573,103,470,274,0.5533980582524272,0.42340425531914894,35,205,22,28,28,merged_from_48h_to_30d ~ exact_edge_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,observational later-merge probability difference; not a causal or semantic-resolution estimate,Copilot -> OpenAI_Codex
exact_edge_vs_nonexact_discussion,48,False,exact_edge_by_48h,0.1312851529937798,0.020144567523981097,0.2424257384635785,0.02060125686543438,607,104,503,297,0.5576923076923077,0.41749502982107356,36,205,22,28,28,merged_from_48h_to_30d ~ exact_edge_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,observational later-merge probability difference; not a causal or semantic-resolution estimate,Cursor -> Claude_Code
exact_edge_vs_nonexact_discussion,48,False,exact_edge_by_48h,0.11637435442578092,0.0049594660086031694,0.22778924284295868,0.04063758479571169,578,107,471,285,0.5420560747663551,0.4182590233545648,36,199,23,28,28,merged_from_48h_to_30d ~ exact_edge_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,observational later-merge probability difference; not a causal or semantic-resolution estimate,Cursor -> Copilot
exact_edge_vs_nonexact_discussion,48,False,exact_edge_by_48h,0.11423834738122852,0.003199914575127083,0.22527678018732997,0.04375331919148415,592,107,485,293,0.5514018691588785,0.4329896907216495,36,204,22,28,28,merged_from_48h_to_30d ~ exact_edge_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,observational later-merge probability difference; not a causal or semantic-resolution estimate,Cursor -> OpenAI_Codex
exact_edge_vs_nonexact_discussion,48,False,exact_edge_by_48h,0.11285533084558838,0.000733975250584426,0.22497668644059232,0.04851898994657671,601,106,495,294,0.5377358490566038,0.41414141414141414,35,202,21,27,27,merged_from_48h_to_30d ~ exact_edge_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,observational later-merge probability difference; not a causal or semantic-resolution estimate,Devin -> Copilot
exact_edge_vs_nonexact_discussion,48,False,exact_edge_by_48h,0.12257385483851019,0.01113048155606007,0.23401722812096032,0.031105793319518554,594,107,487,295,0.5607476635514018,0.43121149897330596,34,192,22,28,28,merged_from_48h_to_30d ~ exact_edge_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,observational later-merge probability difference; not a causal or semantic-resolution estimate,Devin -> Cursor
