group,quantile,propensity_score
exact_edge,0.0,0.03959865737663976
exact_edge,0.01,0.06435286366995933
exact_edge,0.05,0.08327073694289995
exact_edge,0.1,0.11345761407923222
exact_edge,0.25,0.15485747525528024
exact_edge,0.5,0.21842498343100594
exact_edge,0.75,0.299127753291095
exact_edge,0.9,0.5342628033705251
exact_edge,0.95,0.6898388660320212
exact_edge,0.99,0.7193840992445857
exact_edge,1.0,0.7366799782446831
nonexact_discussion_only,0.0,3.073421492806411e-10
nonexact_discussion_only,0.01,0.010650217469593812
nonexact_discussion_only,0.05,0.03989913516433943
nonexact_discussion_only,0.1,0.05309134228383942
nonexact_discussion_only,0.25,0.08947531336729851
nonexact_discussion_only,0.5,0.1424237190749198
nonexact_discussion_only,0.75,0.21531781016114382
nonexact_discussion_only,0.9,0.2745564560761683
nonexact_discussion_only,0.95,0.30739646285252387
nonexact_discussion_only,0.99,0.6083149346629906
nonexact_discussion_only,1.0,0.7585930391041487
