scope,bin_left_minutes,bin_right_minutes,bin_centre_minutes,events,at_risk,hazard
global,0.016666666666666666,0.02015313917577022,0.01832718344234879,42,5553,0.007563479200432199
global,0.02015313917577022,0.02436894111827787,0.022161016716811612,0,5511,0.0
global,0.02436894111827787,0.029466639715368205,0.026796843250228488,0,5511,0.0
global,0.029466639715368205,0.035630717473565617,0.03240243068958921,31,5511,0.005625113409544547
global,0.035630717473565617,0.04308424849063896,0.03918064171923236,0,5480,0.0
global,0.04308424849063896,0.05209697136691889,0.04737677553382075,30,5480,0.005474452554744526
global,0.05209697136691889,0.06299505087561798,0.057287445061938926,0,5450,0.0
global,0.06299505087561798,0.07617288166086328,0.06927131120145273,30,5450,0.005504587155963303
global,0.07617288166086328,0.09210736113185115,0.08376206253185804,29,5420,0.005350553505535056
global,0.09210736113185115,0.11137514808018753,0.1012841102312462,30,5391,0.005564830272676683
global,0.11137514808018753,0.13467353159892217,0.12247156618706145,37,5361,0.006901697444506622
global,0.13467353159892217,0.16284566553633406,0.1480911911065442,12,5324,0.002253944402704733
global,0.16284566553633406,0.19691108170348012,0.17907014310454628,37,5312,0.006965361445783132
global,0.19691108170348012,0.23810258608930174,0.21652953097266064,51,5275,0.00966824644549763
global,0.23810258608930174,0.2879108733341106,0.26182498640137675,36,5224,0.006891271056661562
global,0.2879108733341106,0.3481384740311929,0.3165957234384655,41,5188,0.007902852737085582
global,0.3481384740311929,0.4209649871754538,0.38282386061454315,85,5147,0.016514474451136584
global,0.4209649871754538,0.5090259584803949,0.4629061525662329,64,5062,0.012643224022125641
global,0.5090259584803949,0.6155082591201139,0.5597407270792569,64,4998,0.012805122048819529
global,0.6155082591201139,0.744265416593022,0.6768319665105049,95,4934,0.019254154843940007
global,0.744265416593022,0.8999570714587064,0.8184173291817874,82,4839,0.016945649927671006
global,0.8999570714587064,1.0882176067995535,0.9896207003317626,145,4757,0.030481395837712845
global,1.0882176067995535,1.3158600530013003,1.1966378223005525,135,4612,0.0292714657415438
global,1.3158600530013003,1.5911226470382949,1.4469605145488178,151,4477,0.03372794281885191
global,1.5911226470382949,1.923966969088961,1.7496477978927854,155,4326,0.03582986592695331
