scheme,scheme_kind,threshold_minutes,prs,post_burst_action_prs,user_account_prs,mapped_product_prs,other_bot_prs,branch_movement_untyped_prs,no_action_within_7d_prs,user_share_all_prs,mapped_share_all_prs,user_share_post_burst_actions,mapped_share_post_burst_actions,user_minus_mapped_percentage_points_all_prs,user_minus_mapped_ci_low_pp_all_prs,user_minus_mapped_ci_high_pp_all_prs,user_minus_mapped_percentage_points_actions,user_minus_mapped_ci_low_pp_actions,user_minus_mapped_ci_high_pp_actions,user_exceeds_mapped,user_exceeds_mapped_interval_excludes_zero,modal_post_burst_action_state,user_is_modal_action_state,repositories,product
fixed_0_minutes,fixed,0,1404,959,424,118,207,210,445,0.301994301994302,0.08404558404558404,0.4421272158498436,0.12304483837330553,21.794871794871796,14.608430362740707,30.370322217636385,31.908237747653807,23.0293353953787,41.79552311131258,True,True,user_account,True,360,Claude_Code
fixed_0_minutes,fixed,0,828,596,317,207,60,12,232,0.3828502415458937,0.25,0.5318791946308725,0.34731543624161076,13.285024154589372,3.24520635170707,23.64125146603787,18.456375838926174,4.432062178219691,32.90306918456543,True,True,user_account,True,240,Copilot
fixed_0_minutes,fixed,0,805,533,187,179,133,34,272,0.23229813664596274,0.22236024844720498,0.350844277673546,0.33583489681050654,0.9937888198757764,-7.105984603258415,10.226335068440328,1.5009380863039399,-10.86552789540591,15.355908956752703,True,False,user_account,True,197,Cursor
fixed_0_minutes,fixed,0,706,532,325,144,58,5,174,0.4603399433427762,0.20396600566572237,0.6109022556390977,0.2706766917293233,25.63739376770538,-16.15184567994748,59.1191247729411,34.02255639097744,-23.720526278347336,68.52598896645488,True,False,user_account,True,66,Devin
fixed_0_minutes,fixed,0,315,128,70,41,9,8,187,0.2222222222222222,0.13015873015873017,0.546875,0.3203125,9.206349206349207,-18.644384012142677,27.50598836738549,22.65625,-40.364832535885164,57.485404191616766,True,False,user_account,True,45,Google_Jules
fixed_0_minutes,fixed,0,4550,2805,1058,616,892,239,1745,0.23252747252747252,0.13538461538461538,0.3771836007130125,0.2196078431372549,9.714285714285714,4.692439029865193,15.42416753742451,15.757575757575756,7.668523541954532,24.339981861320688,True,True,user_account,True,829,OpenAI_Codex
fixed_1_minutes,fixed,1,1404,945,419,115,181,230,459,0.2984330484330484,0.08190883190883191,0.4433862433862434,0.12169312169312169,21.65242165242165,14.916688061118114,30.36505240924286,32.16931216931217,23.86624697336562,41.454767184035475,True,True,user_account,True,360,Claude_Code
fixed_1_minutes,fixed,1,828,567,309,185,60,13,261,0.37318840579710144,0.22342995169082125,0.544973544973545,0.3262786596119929,14.975845410628018,5.449490112498989,24.86312331536388,21.869488536155202,7.741604762389335,36.58010647440794,True,True,user_account,True,240,Copilot
fixed_1_minutes,fixed,1,805,515,193,171,118,33,290,0.23975155279503105,0.2124223602484472,0.37475728155339805,0.3320388349514563,2.732919254658385,-5.589789523746001,11.723565108718075,4.271844660194175,-9.002358925286973,18.151761435123166,True,False,user_account,True,197,Cursor
fixed_1_minutes,fixed,1,706,515,337,128,44,6,191,0.4773371104815864,0.1813031161473088,0.654368932038835,0.24854368932038834,29.603399433427764,-8.231647373428995,60.57875744911384,40.58252427184466,-12.740369615885774,72.4310329263151,True,False,user_account,True,66,Devin
fixed_1_minutes,fixed,1,315,117,68,34,6,9,198,0.21587301587301588,0.10793650793650794,0.5811965811965812,0.2905982905982906,10.793650793650794,-6.767067070065602,24.89355895196505,29.059829059829063,-18.671014492753624,52.15470101586253,True,False,user_account,True,45,Google_Jules
fixed_1_minutes,fixed,1,4550,2680,1102,565,752,261,1870,0.2421978021978022,0.12417582417582418,0.41119402985074627,0.21082089552238806,11.802197802197801,6.912072602004844,16.870821507822566,20.03731343283582,12.217838462818756,27.637852860211844,True,True,user_account,True,829,OpenAI_Codex
fixed_5_minutes,fixed,5,1404,880,416,102,131,231,524,0.2962962962962963,0.07264957264957266,0.4727272727272727,0.1159090909090909,22.364672364672362,14.924262615493959,30.789345771679077,35.68181818181818,26.697994680639425,45.840188437019414,True,True,user_account,True,360,Claude_Code
fixed_5_minutes,fixed,5,828,496,326,115,44,11,332,0.39371980676328505,0.1388888888888889,0.657258064516129,0.2318548387096774,25.483091787439616,18.50446428571429,32.46757676157404,42.54032258064516,31.24889184397163,53.02151127145821,True,True,user_account,True,240,Copilot
fixed_5_minutes,fixed,5,805,466,214,127,87,38,339,0.26583850931677017,0.1577639751552795,0.4592274678111588,0.27253218884120173,10.807453416149068,0.9594352461985842,20.904838709677414,18.669527896995707,1.690948067133594,34.717525512305926,True,True,user_account,True,197,Cursor
fixed_5_minutes,fixed,5,706,456,321,108,20,7,250,0.4546742209631728,0.1529745042492918,0.7039473684210527,0.23684210526315788,30.1699716713881,-2.3587499600932227,55.68852154839992,46.71052631578947,-4.587797619047619,75.8467677458425,True,False,user_account,True,66,Devin
fixed_5_minutes,fixed,5,315,104,50,37,8,9,211,0.15873015873015872,0.11746031746031746,0.4807692307692308,0.3557692307692308,4.1269841269841265,-1.4711369622475856,10.615119457981692,12.5,-5.005208333333333,37.5,True,False,user_account,True,45,Google_Jules
