burst_threshold_minutes,first_post_burst_state,prs,share_all_prs,repository_cluster_ci_low,repository_cluster_ci_high,share_post_burst_actions,conditional_cluster_ci_low,conditional_cluster_ci_high,median_minutes_from_trigger,median_minutes_from_burst_end,repositories
0,user_account,2381,0.27660315985130113,0.23620506707019598,0.32549918602285577,0.42877723752926344,0.37864763986337024,0.48598139731230766,26.833333333333336,26.833333333333336,736
0,mapped_product,1305,0.15160315985130113,0.12746781512088523,0.1777879318418588,0.23500810372771475,0.19695884679791992,0.27600663562986183,4.466666666666666,4.466666666666666,404
0,other_bot,1359,0.15787639405204462,0.1243785978801915,0.19580167142205362,0.24473257698541329,0.19785697819244186,0.2969198137618883,2.45,2.45,334
0,branch_movement_untyped,508,0.05901486988847584,0.04400444524302646,0.07508073197629773,0.0914820817576085,0.06795904375669178,0.11709229090506175,30.891666666666666,30.891666666666666,175
0,no_action_within_7d,3055,0.3549024163568773,0.3067336728910573,0.4045779967557366,,,,,,767
1,user_account,2428,0.2820631970260223,0.24221707435509557,0.3270743598644886,0.4547668102640944,0.4052913865891118,0.5086045040745868,32.06666666666666,31.066666666666663,740
1,mapped_product,1198,0.1391728624535316,0.11865647494251458,0.16080918476223152,0.22438658924892302,0.18981640499708363,0.2602116036392119,6.708333333333334,5.708333333333334,382
1,other_bot,1161,0.13487453531598512,0.10629137917363214,0.166920391710105,0.21745645251919835,0.17560077372247954,0.2634083133496686,4.366666666666666,3.3666666666666667,303
1,branch_movement_untyped,552,0.06412639405204461,0.04920010168653572,0.08102660792214349,0.10339014796778423,0.07882052569897874,0.13140854344298059,34.61666666666667,33.61666666666667,186
1,no_action_within_7d,3269,0.37976301115241634,0.3325442782460192,0.4282358633207631,,,,,,795
5,user_account,2526,0.2934479553903346,0.25348000574714324,0.3382243377402107,0.5294487528819954,0.4787152118561005,0.581812813671143,46.50833333333334,41.50833333333333,727
5,mapped_product,924,0.10734200743494424,0.09078989638304769,0.12422454108654532,0.1936700901278558,0.16332732502984315,0.2252418259866694,19.6,14.600000000000001,325
5,other_bot,761,0.08840613382899629,0.06839048415306966,0.11318412900305887,0.15950534479144834,0.1254179436475444,0.19971359093779964,11.850000000000001,6.8500000000000005,238
5,branch_movement_untyped,560,0.06505576208178439,0.04900968494433303,0.08309816719925466,0.11737581219870048,0.08790038748658222,0.15098477954601697,50.141666666666666,45.141666666666666,183
5,no_action_within_7d,3837,0.4457481412639405,0.40067585661824523,0.49104202629507054,,,,,,898
10,user_account,2413,0.28032063197026025,0.24136391958697942,0.32150972754205637,0.5480354303883715,0.49579707780168836,0.6012015186928512,71.93333333333334,61.93333333333333,711
10,mapped_product,827,0.09607342007434944,0.08110369896689874,0.11236581511005142,0.18782648194412901,0.1580212348655001,0.2194529423264907,27.900000000000002,17.9,298
10,other_bot,609,0.07074814126394052,0.05393199766740379,0.09317103804310371,0.1383147853736089,0.10715662599559396,0.1783095336502786,20.96666666666667,10.966666666666667,210
10,branch_movement_untyped,554,0.06435873605947956,0.048224973734838944,0.0813857702799232,0.12582330229389052,0.09462211592628271,0.1587272610151654,66.79166666666666,56.791666666666664,181
10,no_action_within_7d,4205,0.48849907063197023,0.4456593136853642,0.5321389761297665,,,,,,939
30,user_account,2165,0.25151022304832715,0.21871128636661022,0.28793817916271564,0.5886351277868407,0.5439556830031282,0.6361581890217421,164.95,134.95,664
30,mapped_product,653,0.0758596654275093,0.06352342502961429,0.0890242339966809,0.177542142468733,0.1487602137167645,0.20775311904505087,71.43333333333334,41.43333333333334,249
30,other_bot,377,0.04379646840148699,0.034784734705936564,0.0539507812321143,0.10250135943447526,0.08229345505196171,0.12473611459313495,75.7,45.7,167
30,branch_movement_untyped,483,0.05611059479553903,0.04319762562232472,0.07066300187500106,0.13132137030995106,0.10184881044383853,0.16318119350369412,147.8,117.8,167
30,no_action_within_7d,4930,0.5727230483271375,0.5324263128916895,0.61128431853417,,,,,,1016
