burst_threshold_minutes,exclusion_unit,first_post_burst_state,full_share,minimum_loo_share,minimum_excluded_group,maximum_loo_share,maximum_excluded_group,maximum_absolute_shift_percentage_points,exclusions
0,product_pair,user_account,0.27660315985130113,0.25837613108339447,Devin -> Copilot,0.29540559942569994,OpenAI_Codex -> Copilot,1.880243957439881,25
0,product_pair,mapped_product,0.15160315985130113,0.14247173689619733,OpenAI_Codex -> Claude_Code,0.1929289303661163,OpenAI_Codex -> Copilot,4.132577051481517,25
0,product_pair,other_bot,0.15787639405204462,0.12760229720028715,OpenAI_Codex -> Copilot,0.16347210352826272,Copilot -> OpenAI_Codex,3.027409685175747,25
0,product_pair,branch_movement_untyped,0.05901486988847584,0.04896941052907969,Claude_Code -> Copilot,0.0629935391241924,OpenAI_Codex -> Copilot,1.0045459359396152,25
0,product_pair,no_action_within_7d,0.3549024163568773,0.32106963388370424,OpenAI_Codex -> Copilot,0.36133528980190754,Devin -> Copilot,3.383278247317306,25
1,product_pair,user_account,0.2820631970260223,0.26412325752017607,Devin -> Copilot,0.2952261306532663,OpenAI_Codex -> Copilot,1.7939939505846214,25
1,product_pair,mapped_product,0.1391728624535316,0.1302672147995889,OpenAI_Codex -> Claude_Code,0.17893036611629576,OpenAI_Codex -> Copilot,3.975750366276415,25
1,product_pair,other_bot,0.13487453531598512,0.1096554199569275,OpenAI_Codex -> Copilot,0.14037662020053804,Devin -> Copilot,2.521911535905762,25
1,product_pair,branch_movement_untyped,0.06412639405204461,0.053826965997111724,Claude_Code -> Copilot,0.06855707106963388,OpenAI_Codex -> Copilot,1.0299428054932884,25
1,product_pair,no_action_within_7d,0.37976301115241634,0.34763101220387654,OpenAI_Codex -> Copilot,0.3864025434091465,Devin -> Copilot,3.2131998948539797,25
5,product_pair,user_account,0.2934479553903346,0.28001956468574224,Devin -> Copilot,0.30437903804737976,OpenAI_Codex -> Copilot,1.3428390704592341,25
5,product_pair,mapped_product,0.10734200743494424,0.10097636176772867,OpenAI_Codex -> Claude_Code,0.13890882986360373,OpenAI_Codex -> Copilot,3.156682242865949,25
5,product_pair,other_bot,0.08840613382899629,0.07663316582914573,OpenAI_Codex -> Copilot,0.09207630227439471,Devin -> Copilot,1.1772967999850559,25
5,product_pair,branch_movement_untyped,0.06505576208178439,0.054352107128790864,Claude_Code -> Copilot,0.06855707106963388,OpenAI_Codex -> Copilot,1.0703654952993524,25
5,product_pair,no_action_within_7d,0.4457481412639405,0.4115218951902369,OpenAI_Codex -> Copilot,0.45213338114019364,Claude_Code -> Cursor,3.4226246073703614,25
10,product_pair,user_account,0.28032063197026025,0.2692589875275128,Devin -> Copilot,0.29002153625269206,OpenAI_Codex -> Copilot,1.1061644442747431,25
10,product_pair,mapped_product,0.09607342007434944,0.09180929095354523,OpenAI_Codex -> Cursor,0.12042354630294329,OpenAI_Codex -> Copilot,2.4350126228593854,25
10,product_pair,other_bot,0.07074814126394052,0.06227566403445801,OpenAI_Codex -> Copilot,0.07348985081927122,Devin -> Copilot,0.8472477229482516,25
10,product_pair,branch_movement_untyped,0.06435873605947956,0.052120257319154525,Claude_Code -> Copilot,0.06999282124910265,OpenAI_Codex -> Copilot,1.2238478740325034,25
10,product_pair,no_action_within_7d,0.48849907063197023,0.457286432160804,OpenAI_Codex -> Copilot,0.4956019430221872,Claude_Code -> Copilot,3.121263847116623,25
30,product_pair,user_account,0.25151022304832715,0.24235754463193934,Devin -> Copilot,0.2589734386216798,OpenAI_Codex -> Copilot,0.915267841638781,25
30,product_pair,mapped_product,0.0758596654275093,0.07194244604316546,OpenAI_Codex -> Claude_Code,0.093862167982771,OpenAI_Codex -> Copilot,1.8002502555261701,25
30,product_pair,other_bot,0.04379646840148699,0.03840631730078966,OpenAI_Codex -> Copilot,0.045854732208363905,Devin -> Copilot,0.5390151100697328,25
30,product_pair,branch_movement_untyped,0.05611059479553903,0.04503085204148615,Claude_Code -> Copilot,0.0629935391241924,OpenAI_Codex -> Copilot,1.107974275405288,25
30,product_pair,no_action_within_7d,0.5727230483271375,0.5457645369705671,OpenAI_Codex -> Copilot,0.5818563739004857,Claude_Code -> Copilot,2.6958511356570347,25
0,repository,user_account,0.27660315985130113,0.2601577437858509,839216423,0.28246366452227784,440778041,1.6445416065450247,1416
0,repository,mapped_product,0.15160315985130113,0.1468416735028712,139199684,0.15559273422562142,839216423,0.4761486348429933,1416
0,repository,other_bot,0.15787639405204462,0.1470449172576832,845317529,0.16101895734597158,922805069,1.0831476794361417,1416
0,repository,branch_movement_untyped,0.05901486988847584,0.05497227792851245,1103012935,0.060587954110898665,839216423,0.4042591959963392,1416
0,repository,no_action_within_7d,0.3549024163568773,0.3420616113744076,922805069,0.3641252390057361,839216423,1.28408049824697,1416
1,repository,user_account,0.2820631970260223,0.2654158699808795,839216423,0.2881820347867524,440778041,1.6647327045142768,1416
1,repository,mapped_product,0.1391728624535316,0.13547404195476387,139199684,0.14280592734225622,839216423,0.3698820498767741,1416
1,repository,other_bot,0.13487453531598512,0.12692624397129748,476642602,0.13755924170616113,922805069,0.7948291344687636,1416
1,repository,branch_movement_untyped,0.06412639405204461,0.059690928394479176,1103012935,0.06584608030592734,839216423,0.4435465657565432,1416
1,repository,no_action_within_7d,0.37976301115241634,0.3674170616113744,922805069,0.3892208413001912,839216423,1.2345949541041956,1416
5,repository,user_account,0.2934479553903346,0.27915869980879543,839216423,0.29941825952748424,70124554,1.428925558153915,1416
5,repository,mapped_product,0.10734200743494424,0.10570725418961678,139199684,0.1104206500956023,839216423,0.30786426606580625,1416
5,repository,other_bot,0.08840613382899629,0.07975532290318786,476642602,0.09016587677725119,922805069,0.8650810925808425,1416
5,repository,branch_movement_untyped,0.06505576208178439,0.06039872596437419,1103012935,0.06680210325047801,839216423,0.4657036117410196,1416
5,repository,no_action_within_7d,0.4457481412639405,0.43471563981042655,922805069,0.4537523900573614,839216423,1.1032501453513976,1416
10,repository,user_account,0.28032063197026025,0.26720841300191206,839216423,0.28600261189599907,70124554,1.3112218968348188,1416
10,repository,mapped_product,0.09607342007434944,0.09417828276912264,747691207,0.09882887189292543,839216423,0.2755451818575991,1416
10,repository,other_bot,0.07074814126394052,0.06258087283848959,476642602,0.0721563981042654,922805069,0.816726842545093,1416
10,repository,branch_movement_untyped,0.06435873605947956,0.06028075970272502,1103012935,0.066085086042065,839216423,0.40779763567545396,1416
10,repository,no_action_within_7d,0.48849907063197023,0.4783175355450237,922805069,0.49593690248565964,839216423,1.0181535086946525,1416
30,repository,user_account,0.25151022304832715,0.24055927342256214,839216423,0.25679686572480115,70124554,1.0950949625765012,1416
30,repository,mapped_product,0.0758596654275093,0.0740306899379173,747691207,0.07779636711281071,839216423,0.19367016853014118,1416
30,repository,other_bot,0.04379646840148699,0.041289260087048585,476642602,0.04481357552581262,839216423,0.2507208314438403,1416
30,repository,branch_movement_untyped,0.05611059479553903,0.05320278400377492,1103012935,0.05760038240917782,839216423,0.29078107917641094,1416
30,repository,no_action_within_7d,0.5727230483271375,0.564218009478673,922805069,0.5792304015296367,839216423,0.8505038848464541,1416
