burst_threshold_minutes,exclusion_unit,excluded_group,excluded_group_prs,remaining_prs,first_post_burst_state,remaining_state_prs,share_all_prs,share_post_burst_actions
0,product_pair,Claude_Code -> Copilot,991,7617,user_account,2092,0.27464881186818957,0.42537616917446114
0,product_pair,Claude_Code -> Copilot,991,7617,mapped_product,1235,0.1621373244059341,0.2511183407889386
0,product_pair,Claude_Code -> Copilot,991,7617,other_bot,1218,0.15990547459629775,0.24766165107767385
0,product_pair,Claude_Code -> Copilot,991,7617,branch_movement_untyped,373,0.04896941052907969,0.0758438389589264
0,product_pair,Claude_Code -> Copilot,991,7617,no_action_within_7d,2699,0.3543389786004989,
0,product_pair,Claude_Code -> Cursor,241,8367,user_account,2307,0.2757260666905701,0.4310538116591928
0,product_pair,Claude_Code -> Cursor,241,8367,mapped_product,1277,0.15262340145810924,0.23860239162929747
0,product_pair,Claude_Code -> Cursor,241,8367,other_bot,1320,0.1577626389386877,0.24663677130044842
0,product_pair,Claude_Code -> Cursor,241,8367,branch_movement_untyped,448,0.05354368351858492,0.08370702541106129
0,product_pair,Claude_Code -> Cursor,241,8367,no_action_within_7d,3015,0.36034420939404804,
0,product_pair,Claude_Code -> Devin,35,8573,user_account,2360,0.27528286480811853,0.4273040014484881
0,product_pair,Claude_Code -> Devin,35,8573,mapped_product,1301,0.15175551148956024,0.23556038384935724
0,product_pair,Claude_Code -> Devin,35,8573,other_bot,1358,0.1584042925463665,0.2458808618504436
0,product_pair,Claude_Code -> Devin,35,8573,branch_movement_untyped,504,0.05878922197597107,0.09125475285171103
0,product_pair,Claude_Code -> Devin,35,8573,no_action_within_7d,3050,0.3557681091799837,
0,product_pair,Claude_Code -> OpenAI_Codex,137,8471,user_account,2341,0.2763546216503364,0.42875457875457873
0,product_pair,Claude_Code -> OpenAI_Codex,137,8471,mapped_product,1289,0.15216621414236808,0.23608058608058607
0,product_pair,Claude_Code -> OpenAI_Codex,137,8471,other_bot,1333,0.15736040609137056,0.24413919413919413
0,product_pair,Claude_Code -> OpenAI_Codex,137,8471,branch_movement_untyped,497,0.05867075906032346,0.09102564102564102
0,product_pair,Claude_Code -> OpenAI_Codex,137,8471,no_action_within_7d,3011,0.3554479990556015,
0,product_pair,Copilot -> Claude_Code,176,8432,user_account,2316,0.27466793168880455,0.4273062730627306
0,product_pair,Copilot -> Claude_Code,176,8432,mapped_product,1254,0.148719165085389,0.23136531365313653
0,product_pair,Copilot -> Claude_Code,176,8432,other_bot,1344,0.15939278937381404,0.24797047970479705
0,product_pair,Copilot -> Claude_Code,176,8432,branch_movement_untyped,506,0.06000948766603416,0.09335793357933579
0,product_pair,Copilot -> Claude_Code,176,8432,no_action_within_7d,3012,0.3572106261859583,
0,product_pair,Copilot -> Cursor,220,8388,user_account,2290,0.2730090605627086,0.42407407407407405
