burst_threshold_minutes,zero_minute_state,threshold_state,prs,share_all_prs,share_within_zero_minute_state,repositories
1,branch_movement_untyped,branch_movement_untyped,493,0.057272304832713755,0.9704724409448819,171
1,no_action_within_7d,no_action_within_7d,3055,0.3549024163568773,1.0,767
1,user_account,user_account,2243,0.26057156133828996,0.9420411591768164,712
1,user_account,no_action_within_7d,49,0.005692379182156134,0.020579588408231837,35
1,mapped_product,mapped_product,1117,0.12976301115241637,0.8559386973180076,370
1,other_bot,user_account,95,0.011036245353159852,0.06990434142752024,45
1,other_bot,other_bot,1098,0.12755576208178437,0.8079470198675497,290
1,other_bot,no_action_within_7d,103,0.011965613382899629,0.07579102281089035,67
1,mapped_product,no_action_within_7d,56,0.006505576208178439,0.04291187739463601,41
1,other_bot,mapped_product,41,0.004763011152416357,0.03016924208977189,28
1,other_bot,branch_movement_untyped,22,0.0025557620817843866,0.016188373804267846,18
1,user_account,other_bot,26,0.0030204460966542753,0.010919781604367913,20
1,mapped_product,user_account,85,0.00987453531598513,0.06513409961685823,46
1,user_account,mapped_product,38,0.004414498141263941,0.015959680806383873,26
1,mapped_product,other_bot,35,0.004065985130111524,0.02681992337164751,26
1,branch_movement_untyped,no_action_within_7d,6,0.0006970260223048327,0.011811023622047244,5
1,user_account,branch_movement_untyped,25,0.002904275092936803,0.010499790004199917,8
1,mapped_product,branch_movement_untyped,12,0.0013940520446096654,0.009195402298850575,8
1,branch_movement_untyped,other_bot,2,0.00023234200743494423,0.003937007874015748,2
1,branch_movement_untyped,user_account,5,0.0005808550185873606,0.00984251968503937,5
1,branch_movement_untyped,mapped_product,2,0.00023234200743494423,0.003937007874015748,2
5,branch_movement_untyped,branch_movement_untyped,433,0.050302044609665426,0.8523622047244095,150
5,no_action_within_7d,no_action_within_7d,3055,0.3549024163568773,1.0,767
5,user_account,user_account,1973,0.2292053903345725,0.8286434271314573,653
5,user_account,no_action_within_7d,230,0.026719330855018587,0.09659806803863923,133
5,mapped_product,mapped_product,758,0.08805762081784387,0.5808429118773947,288
5,user_account,mapped_product,93,0.010803903345724907,0.039059218815623686,64
5,other_bot,user_account,282,0.03276022304832714,0.20750551876379691,105
5,other_bot,other_bot,663,0.07702137546468402,0.4878587196467991,214
5,user_account,other_bot,40,0.004646840148698885,0.016799664006719867,34
5,other_bot,branch_movement_untyped,48,0.0055762081784386614,0.03532008830022075,29
