specification,outcome,pairs,repositories,cross_rate,same_rate,paired_difference,pair_bootstrap_ci_low,pair_bootstrap_ci_high,repository_cluster_bootstrap_ci_low,repository_cluster_bootstrap_ci_high
exact_author_user,any_visible_followup,546,149,0.6813186813186813,0.815018315018315,-0.1336996336996337,-0.18315018315018314,-0.08608058608058608,-0.19926850120651357,-0.03970223325062035
exact_author_user,later_pr_comment,546,149,0.38461538461538464,0.5384615384615384,-0.15384615384615385,-0.20695970695970695,-0.10256410256410256,-0.33198994323054043,0.025761425915642577
exact_author_user,new_review_round,546,149,0.5256410256410257,0.5183150183150184,0.007326007326007326,-0.04395604395604396,0.05860805860805861,-0.13478563448468484,0.13278774000827767
exact_author_user,exact_trigger_reply,546,149,0.07509157509157509,0.08424908424908426,-0.009157509157509158,-0.03663003663003663,0.018315018315018316,-0.03990610328638498,0.017822666195190934
exact_author_user,visible_force_push,546,149,0.10989010989010989,0.09157509157509157,0.018315018315018316,-0.016483516483516484,0.05311355311355311,-0.016018306636155607,0.04778827554523912
exact_author_user,merge_within_7d,546,149,0.7344322344322345,0.706959706959707,0.027472527472527472,-0.018315018315018316,0.07142857142857142,-0.02852643163089749,0.10249638038067152
exact_author_user_7d_time_caliper,any_visible_followup,423,126,0.6761229314420804,0.8250591016548463,-0.14893617021276595,-0.2033096926713948,-0.09456264775413711,-0.21580110004838174,-0.04207046852677922
exact_author_user_7d_time_caliper,later_pr_comment,423,126,0.34988179669030733,0.5508274231678487,-0.20094562647754138,-0.2624113475177305,-0.14184397163120568,-0.3840980904847886,0.010715245775729633
exact_author_user_7d_time_caliper,new_review_round,423,126,0.541371158392435,0.5059101654846335,0.03546099290780142,-0.02127659574468085,0.09219858156028368,-0.14057632787539937,0.17092836956179142
exact_author_user_7d_time_caliper,exact_trigger_reply,423,126,0.08037825059101655,0.09219858156028368,-0.01182033096926714,-0.0425531914893617,0.018912529550827423,-0.04466501240694789,0.016129032258064516
exact_author_user_7d_time_caliper,visible_force_push,423,126,0.10874704491725769,0.10638297872340426,0.002364066193853428,-0.037825059101654845,0.0425531914893617,-0.04152249134948097,0.033079984106725725
exact_author_user_7d_time_caliper,merge_within_7d,423,126,0.7565011820330969,0.7163120567375887,0.04018912529550828,-0.0070921985815602835,0.08747044917257683,-0.027331670651606344,0.14285714285714285
