reference_route,compared_route,specification,estimate,ci_low,ci_high,p_value,n_prs,repositories
automation_no_human,automation_then_human,base_controls,0.13270469674963045,0.03275163166875082,0.23265776183051007,0.009263170711808455,1733,641
automation_no_human,human_first,base_controls,0.07072365013846008,-0.006821653559064347,0.14826895383598448,0.07384926414706533,1733,641
automation_no_human,movement_only,base_controls,0.10857397802206739,-0.07240297237749638,0.28955092842163116,0.23965628083028123,1733,641
automation_no_human,no_observed_action,base_controls,-0.09167081162173515,-0.15778137126555447,-0.025560251977915838,0.006572893490928013,1733,641
automation_no_human,other_activity,base_controls,-0.01297794565643444,-0.14067388653234425,0.11471799521947536,0.8421107425598177,1733,641
automation_no_human,automation_then_human,pretrigger_adjusted,0.1287360860943623,0.030012568273299747,0.22745960391542486,0.010594237216029517,1733,641
automation_no_human,human_first,pretrigger_adjusted,0.060998343111778625,-0.01683114019011399,0.13882782641367125,0.12451169390425351,1733,641
automation_no_human,movement_only,pretrigger_adjusted,0.11636743457587372,-0.0670345726184828,0.29976944177023024,0.2136523483975401,1733,641
automation_no_human,no_observed_action,pretrigger_adjusted,-0.09197832462863988,-0.15864131439554108,-0.02531533486173869,0.00684562475696473,1733,641
automation_no_human,other_activity,pretrigger_adjusted,-0.01469757411116457,-0.1450102760267181,0.11561512780438896,0.8250469697066518,1733,641
