exclusion_unit,excluded_group,n_prs,automation_then_user_vs_automation_only,user_first_vs_automation_only
author_reviewer_pair,Claude_Code -> Copilot,1526,0.13266076998966658,0.0723477446256247
author_reviewer_pair,Claude_Code -> Cursor,1665,0.1302206274429664,0.06455938946760911
author_reviewer_pair,Claude_Code -> Devin,1731,0.132545318090094,0.0706616017659098
author_reviewer_pair,Claude_Code -> OpenAI_Codex,1695,0.1467114776034149,0.07041836752896609
author_reviewer_pair,Copilot -> Claude_Code,1675,0.1412367430163827,0.0687146269648202
author_reviewer_pair,Copilot -> Cursor,1662,0.1349128334044075,0.0691300528312073
author_reviewer_pair,Copilot -> Devin,1729,0.13272492018245652,0.0707117074527084
author_reviewer_pair,Copilot -> OpenAI_Codex,1652,0.1118326085795737,0.0663261718666559
author_reviewer_pair,Cursor -> Claude_Code,1691,0.11885846590432371,0.0652116016909819
author_reviewer_pair,Cursor -> Copilot,1626,0.1479425014875078,0.08395086207114999
author_reviewer_pair,Cursor -> Devin,1730,0.13141544995990312,0.070725110818971
author_reviewer_pair,Cursor -> OpenAI_Codex,1667,0.1293005281493414,0.05582662388287049
author_reviewer_pair,Devin -> Claude_Code,1703,0.13664586504529058,0.0737403936487396
author_reviewer_pair,Devin -> Copilot,1687,0.1293635428594226,0.06240678133730031
author_reviewer_pair,Devin -> Cursor,1668,0.129667893553121,0.06578513324092108
author_reviewer_pair,Google_Jules -> Claude_Code,1732,0.1312402856098175,0.0694516607023858
author_reviewer_pair,Google_Jules -> Copilot,1720,0.13380570078040752,0.0693089092949791
author_reviewer_pair,Google_Jules -> Devin,1732,0.1350682652827459,0.0708290863529198
author_reviewer_pair,Google_Jules -> OpenAI_Codex,1725,0.13417476804217598,0.07201061214871189
author_reviewer_pair,OpenAI_Codex -> Claude_Code,1616,0.12482554391973849,0.0796720513770598
author_reviewer_pair,OpenAI_Codex -> Copilot,1175,0.12529745404029213,0.09282448706636343
author_reviewer_pair,OpenAI_Codex -> Cursor,1612,0.14936905852680188,0.07372716226185132
author_reviewer_pair,OpenAI_Codex -> Devin,1707,0.126244646597282,0.07168381038308069
repository,100061716,1731,0.12929601614056652,0.071850787904735
repository,1001215857,1731,0.13250649345850818,0.07128755069312319
repository,1002125012,1732,0.1326052968032242,0.0708093590060405
repository,1002552148,1730,0.132433148789434,0.07046356853294719
repository,1004147641,1725,0.1308610824110964,0.0689222163736797
repository,100426697,1732,0.1327145733164113,0.0708280865599815
repository,1004340390,1730,0.13310378746742618,0.07107630190262791
repository,1005196133,1732,0.1312963465890473,0.06932447487478369
repository,1009089036,1726,0.13974326075117438,0.073523319906122
repository,1011567289,1732,0.1326296331756153,0.0717650651007915
repository,1011961402,1732,0.1326414736342442,0.0707289938714887
repository,1012480482,1732,0.13284038423993777,0.0707764480413612
repository,1012625755,1725,0.12447152542247249,0.0708816436054699
repository,1013416985,1730,0.1348211008154265,0.07376702044895339
repository,1013480284,1732,0.1327732714718643,0.0706250235812654
repository,1013972654,1731,0.136605732467495,0.0746666724999307
repository,1014807216,1732,0.1328254966648627,0.0708691665505172
repository,1017038703,1732,0.1326916623953554,0.069510769788282
repository,1018687398,1732,0.13305998100353308,0.070937605245226
repository,1018698329,1732,0.13291173296809278,0.07200173180414811
repository,10187082,1732,0.1325524296624663,0.0705205761067405
repository,101895131,1731,0.132487284851973,0.0682173855233778
repository,1019382196,1721,0.1325105619626071,0.0685793460428567
repository,1019432584,1732,0.1327102225839973,0.0706606309727737
repository,1020144870,1732,0.13278497808266293,0.0707703030276386
repository,1021219064,1731,0.13447822041280122,0.0725559411771484
repository,1024661423,1723,0.1309996006610627,0.0719891534703781
repository,1025125300,1732,0.1347700745975732,0.0727755727894212
repository,1026297001,1732,0.1326487012644848,0.07056232175252539
repository,1026981142,1732,0.13294607313294599,0.07211422031734059
repository,1029240529,1731,0.1327442473290961,0.07103620238579111
repository,1029550379,1732,0.1311727622584057,0.06930811625519831
repository,1030558707,1724,0.1359247133212912,0.07691001384049659
repository,1032170083,1727,0.1297264885833201,0.06791212336225201
repository,1038012475,1731,0.1300915388383675,0.0678262829717809
repository,1040968366,1732,0.1325966884255522,0.0708378500492754
repository,1042367133,1731,0.13083804964795098,0.0677245488994205
repository,1042413742,1732,0.13286839814350987,0.07083148489415829
repository,104242311,1732,0.13270469674963198,0.07072365013845959
repository,104365663,1730,0.13301127509093388,0.0705986002835802
repository,1043767874,1732,0.1313856739614043,0.06939043077687959
repository,1045340059,1731,0.13158037900400382,0.06948369361338129
repository,10458362,1729,0.13254844426633788,0.06952652026156901
repository,1048065319,1729,0.1379191343318648,0.07342874668429741
repository,1048601047,1732,0.13152165622684192,0.0696296864416353
repository,1050131556,1732,0.1327439517001005,0.07180782279162481
repository,1051086270,1732,0.13488361162383922,0.07244396085942469
repository,1051990253,1732,0.1350682652827459,0.0708290863529198
