author_agent,reviewer_agent,prs,events,median_hours_to_feedback
OpenAI_Codex,Copilot,3098,11012,0.10722222222222222
Claude_Code,Copilot,1010,4730,0.12861111111111112
OpenAI_Codex,Claude_Code,846,2594,0.9215277777777777
Cursor,Copilot,515,2325,1.6769444444444443
OpenAI_Codex,Cursor,466,1739,0.6152777777777778
Devin,Copilot,433,1214,2.1077777777777778
Copilot,OpenAI_Codex,427,1014,1.9352777777777779
Claude_Code,Cursor,282,1772,3.5541666666666667
OpenAI_Codex,Devin,266,1161,1.0758333333333334
Copilot,Cursor,224,648,11.919444444444444
Google_Jules,Copilot,184,1364,0.9804166666666667
Copilot,Claude_Code,180,564,18.534305555555555
Cursor,OpenAI_Codex,163,646,10.084027777777777
Cursor,Claude_Code,158,1065,0.6252777777777778
Claude_Code,OpenAI_Codex,155,545,0.13416666666666666
Google_Jules,OpenAI_Codex,119,132,0.4766666666666667
Devin,Cursor,118,405,0.46111111111111114
Devin,Claude_Code,103,263,17.691111111111113
Devin,OpenAI_Codex,74,176,1.3943055555555555
Claude_Code,Devin,35,54,0.04069444444444445
Cursor,Devin,18,54,0.8106944444444444
Google_Jules,Devin,17,41,2.5075
Google_Jules,Claude_Code,17,32,0.11305555555555555
Copilot,Devin,15,79,3127.803611111111
Google_Jules,Cursor,4,8,0.4469444444444444
