response_source,response_actor_role,prs,events,median_hours_after_trigger
direct_inline_reply,author_account,468,488,0.46847222222222223
direct_inline_reply,other_human,192,213,0.24972222222222223
direct_inline_reply,triggering_reviewer_brand,75,76,0.45958333333333334
direct_inline_reply,author_agent_brand,71,77,0.07472222222222222
direct_inline_reply,other_bot,8,18,0.8080555555555555
direct_inline_reply,other_agent_brand,3,3,0.04
force_push,unknown_actor,1031,2268,3.9273611111111113
force_push,author_agent_brand,35,49,5.800833333333333
force_push,triggering_reviewer_brand,9,9,0.07472222222222222
subsequent_pr_comment,other_bot,1484,2808,0.3925
subsequent_pr_comment,author_account,1154,1949,3.686111111111111
subsequent_pr_comment,other_human,1061,2053,3.819166666666667
subsequent_pr_comment,triggering_reviewer_brand,507,1298,2.57375
subsequent_pr_comment,author_agent_brand,399,814,1.3191666666666668
subsequent_pr_comment,other_agent_brand,47,99,1.6177777777777778
subsequent_review,other_human,2379,4518,3.723888888888889
subsequent_review,triggering_reviewer_brand,1232,3461,2.136388888888889
subsequent_review,author_account,996,3504,1.9180555555555556
subsequent_review,other_bot,928,1950,0.2947222222222222
subsequent_review,author_agent_brand,799,1807,0.5402777777777777
subsequent_review,other_agent_brand,245,442,0.36291666666666667
subsequent_review,unknown_actor,2,2,19.201944444444443
