episode_gap_minutes,automation_state,next_transition,at_risk_prs,prs,share,repository_cluster_ci_low,repository_cluster_ci_high,repositories
0,1,user_account,1849,436,0.2358031368307193,0.2028298919391137,0.26989754124212056,497
0,1,another_automation,1849,805,0.4353704705246079,0.38651650927138625,0.4869159665767706,497
0,1,branch_movement_untyped,1849,130,0.07030827474310439,0.05152068387319562,0.09140153296341573,497
0,1,no_later_episode,1849,478,0.2585181179015684,0.22484298554482535,0.29548183367521785,497
0,2,user_account,875,139,0.15885714285714286,0.1291587716739214,0.19249567508818638,280
0,2,another_automation,875,478,0.5462857142857143,0.48981719648052224,0.598863955566905,280
0,2,branch_movement_untyped,875,62,0.07085714285714285,0.05021601492815007,0.09484861575255753,280
0,2,no_later_episode,875,196,0.224,0.18607373181830872,0.26706664091172494,280
0,3,user_account,510,82,0.1607843137254902,0.10043560671182478,0.22486513479608652,185
0,3,another_automation,510,306,0.6,0.5224003006267304,0.6812945129538446,185
0,3,branch_movement_untyped,510,33,0.06470588235294118,0.03595813509966368,0.09438386821401377,185
0,3,no_later_episode,510,89,0.17450980392156862,0.1401418339480535,0.21305339668355305,185
0,4,user_account,326,43,0.13190184049079753,0.09615240240240241,0.17094202898550723,144
0,4,another_automation,326,210,0.6441717791411042,0.5718946753013131,0.7127708825847123,144
0,4,branch_movement_untyped,326,24,0.0736196319018405,0.03713282247765006,0.11403566941225741,144
0,4,no_later_episode,326,49,0.15030674846625766,0.10884303721488595,0.19572259528988928,144
1,1,user_account,1820,463,0.2543956043956044,0.21697565132821497,0.2930101611236557,496
1,1,another_automation,1820,739,0.40604395604395604,0.35690250397313605,0.459747491269494,496
1,1,branch_movement_untyped,1820,113,0.06208791208791209,0.043995069408363875,0.08148413573441134,496
1,1,no_later_episode,1820,505,0.2774725274725275,0.2413004501167863,0.31678026649776636,496
1,2,user_account,797,130,0.16311166875784192,0.13369277486667494,0.19788564182567617,263
1,2,another_automation,797,411,0.5156838143036386,0.4667474656085033,0.5590557642275021,263
