washout_minutes,next_owner_state,prs,share,repository_cluster_ci_low,repository_cluster_ci_high,median_minutes_from_anchor,repositories
0,user_account,223,0.24134199134199133,0.20603459883704645,0.281325412176476,19.45,143
0,same_mapped_product,298,0.3225108225108225,0.27695191197481983,0.36760571610656667,13.091666666666667,129
0,different_mapped_product,58,0.06277056277056277,0.040129328181379695,0.08695760869565215,9.433333333333334,36
0,other_bot,60,0.06493506493506493,0.04595164605752592,0.08585886034255599,5.883333333333333,43
0,branch_movement_untyped,36,0.03896103896103896,0.02475222006736756,0.054679691900004226,44.19166666666666,28
0,no_later_state,249,0.2694805194805195,0.2337009000931131,0.30708764588388715,,154
5,user_account,217,0.23484848484848486,0.19685018648984667,0.2741625310173697,31.599999999999998,128
5,same_mapped_product,284,0.30735930735930733,0.26576894178223154,0.35011586146016965,22.6,129
5,different_mapped_product,43,0.046536796536796536,0.03151242118784503,0.06206109181942986,25.3,33
5,other_bot,39,0.04220779220779221,0.026367833884915128,0.060897593320235754,54.03333333333333,30
5,branch_movement_untyped,36,0.03896103896103896,0.02441849109738372,0.05411628617061253,53.391666666666666,28
5,no_later_state,305,0.3300865800865801,0.29001047261009666,0.37201501633713435,,171
30,user_account,181,0.1958874458874459,0.16614420062695925,0.22727394004074897,118.48333333333333,114
30,same_mapped_product,210,0.22727272727272727,0.18647919876733438,0.26554883152434805,69.63333333333333,101
30,different_mapped_product,36,0.03896103896103896,0.02417575427117412,0.055187817149737674,113.53333333333333,25
30,other_bot,38,0.04112554112554113,0.026623654923740643,0.057527970211020914,91.35833333333332,32
30,branch_movement_untyped,30,0.032467532467532464,0.019308728559239756,0.04739375682553284,92.925,24
30,no_later_state,429,0.4642857142857143,0.42261274623856054,0.5067938515622672,,207
60,user_account,152,0.1645021645021645,0.13735679134465498,0.19290950331096315,349.01666666666665,102
60,same_mapped_product,186,0.2012987012987013,0.16382978723404254,0.24110671936758893,116.06666666666666,93
60,different_mapped_product,35,0.03787878787878788,0.022093995578857217,0.05514316012725345,153.08333333333334,24
60,other_bot,33,0.03571428571428571,0.022483008769589783,0.051055224038884565,145.93333333333334,25
60,branch_movement_untyped,23,0.024891774891774892,0.013771186440677966,0.03694920041349157,607.0,19
60,no_later_state,495,0.5357142857142857,0.48893682399213373,0.5808464686602407,,225
