washout_minutes,exclusion_unit,excluded_group,excluded_group_prs,remaining_prs,state,share
5,product_pair,Claude_Code -> Copilot,54,870,user_account,0.23333333333333334
5,product_pair,Claude_Code -> Copilot,54,870,same_mapped_product,0.3114942528735632
5,product_pair,Claude_Code -> Copilot,54,870,different_mapped_product,0.04942528735632184
5,product_pair,Claude_Code -> Copilot,54,870,other_bot,0.0367816091954023
5,product_pair,Claude_Code -> Copilot,54,870,branch_movement_untyped,0.034482758620689655
5,product_pair,Claude_Code -> Copilot,54,870,no_later_state,0.33448275862068966
5,product_pair,Claude_Code -> Cursor,33,891,user_account,0.2345679012345679
5,product_pair,Claude_Code -> Cursor,33,891,same_mapped_product,0.30190796857463525
5,product_pair,Claude_Code -> Cursor,33,891,different_mapped_product,0.04713804713804714
5,product_pair,Claude_Code -> Cursor,33,891,other_bot,0.04264870931537598
5,product_pair,Claude_Code -> Cursor,33,891,branch_movement_untyped,0.037037037037037035
5,product_pair,Claude_Code -> Cursor,33,891,no_later_state,0.3367003367003367
5,product_pair,Claude_Code -> Devin,3,921,user_account,0.23561346362649294
5,product_pair,Claude_Code -> Devin,3,921,same_mapped_product,0.30618892508143325
5,product_pair,Claude_Code -> Devin,3,921,different_mapped_product,0.04668838219326819
5,product_pair,Claude_Code -> Devin,3,921,other_bot,0.04234527687296417
5,product_pair,Claude_Code -> Devin,3,921,branch_movement_untyped,0.03908794788273615
5,product_pair,Claude_Code -> Devin,3,921,no_later_state,0.3300760043431053
5,product_pair,Claude_Code -> OpenAI_Codex,12,912,user_account,0.23135964912280702
5,product_pair,Claude_Code -> OpenAI_Codex,12,912,same_mapped_product,0.3081140350877193
5,product_pair,Claude_Code -> OpenAI_Codex,12,912,different_mapped_product,0.047149122807017545
5,product_pair,Claude_Code -> OpenAI_Codex,12,912,other_bot,0.041666666666666664
5,product_pair,Claude_Code -> OpenAI_Codex,12,912,branch_movement_untyped,0.039473684210526314
5,product_pair,Claude_Code -> OpenAI_Codex,12,912,no_later_state,0.33223684210526316
5,product_pair,Copilot -> Claude_Code,43,881,user_account,0.23496027241770714
5,product_pair,Copilot -> Claude_Code,43,881,same_mapped_product,0.3076049943246311
5,product_pair,Copilot -> Claude_Code,43,881,different_mapped_product,0.04767309875141884
5,product_pair,Copilot -> Claude_Code,43,881,other_bot,0.03745743473325766
5,product_pair,Copilot -> Claude_Code,43,881,branch_movement_untyped,0.04086265607264472
5,product_pair,Copilot -> Claude_Code,43,881,no_later_state,0.3314415437003405
5,product_pair,Copilot -> Cursor,30,894,user_account,0.22930648769574943
5,product_pair,Copilot -> Cursor,30,894,same_mapped_product,0.3131991051454139
5,product_pair,Copilot -> Cursor,30,894,different_mapped_product,0.04697986577181208
5,product_pair,Copilot -> Cursor,30,894,other_bot,0.04138702460850112
5,product_pair,Copilot -> Cursor,30,894,branch_movement_untyped,0.039149888143176735
5,product_pair,Copilot -> Cursor,30,894,no_later_state,0.32997762863534674
5,product_pair,Copilot -> Devin,5,919,user_account,0.23286180631120784
5,product_pair,Copilot -> Devin,5,919,same_mapped_product,0.3068552774755169
5,product_pair,Copilot -> Devin,5,919,different_mapped_product,0.046789989118607184
5,product_pair,Copilot -> Devin,5,919,other_bot,0.042437431991294884
5,product_pair,Copilot -> Devin,5,919,branch_movement_untyped,0.03917301414581066
5,product_pair,Copilot -> Devin,5,919,no_later_state,0.33188248095756256
