exclusion_unit,excluded_group,excluded_group_prs,remaining_prs,remaining_mean_difference
product_pair,Devin -> Copilot,6,489,0.008760035267809203
product_pair,OpenAI_Codex -> Copilot,66,429,0.011650216690546422
product_pair,OpenAI_Codex -> Cursor,49,446,0.00938165352028775
product_pair,Devin -> Claude_Code,3,492,0.00819849033731443
product_pair,Devin -> Cursor,23,472,0.009428652357257135
product_pair,Copilot -> Cursor,17,478,0.00741749374030013
product_pair,Cursor -> Copilot,30,465,0.005165969385972513
product_pair,OpenAI_Codex -> Claude_Code,74,421,0.011585099082531629
product_pair,Cursor -> Claude_Code,28,467,0.008548159698698146
product_pair,Claude_Code -> Cursor,23,472,0.008439951792285382
product_pair,Copilot -> Claude_Code,27,468,0.009119197072832659
product_pair,Copilot -> OpenAI_Codex,20,475,0.012300746463944034
product_pair,Claude_Code -> Copilot,28,467,0.008316182539526125
product_pair,Cursor -> OpenAI_Codex,14,481,0.006840766015983719
product_pair,Copilot -> Devin,4,491,0.008520686855313035
product_pair,Google_Jules -> Copilot,19,476,0.0010533417691453557
product_pair,Google_Jules -> Claude_Code,3,492,0.008706620418615245
product_pair,Claude_Code -> Devin,2,493,0.00868895993095071
product_pair,OpenAI_Codex -> Devin,40,455,0.012787367826348569
product_pair,Devin -> OpenAI_Codex,10,485,0.008832282981358144
product_pair,Cursor -> Devin,1,494,0.008671370943236235
product_pair,Claude_Code -> OpenAI_Codex,8,487,0.008796010771989118
repository,832552991,1,494,0.008671370943236235
repository,86519684,2,493,0.00868895993095071
repository,792160692,4,491,0.008724352843093076
repository,614765452,3,492,0.008706620418615245
repository,965250949,3,492,0.008706620418615245
repository,633927609,4,491,0.00974268278199328
repository,959682770,10,485,0.008832282981358144
repository,899766976,3,492,0.008706620418615245
repository,845317529,2,493,0.00868895993095071
repository,400215964,3,492,0.008706620418615245
repository,577492459,2,493,0.007336694887002096
repository,214868921,1,494,0.008671370943236235
repository,850004061,2,493,0.00868895993095071
repository,957245447,3,492,0.008029113643547494
repository,917358773,1,494,0.008671370943236235
repository,100061716,1,494,0.008671370943236235
repository,127246132,2,493,0.00868895993095071
repository,500289888,1,494,0.008671370943236235
repository,895926919,2,493,0.010041224974899326
repository,3729629,1,494,0.008671370943236235
repository,33837371,2,493,0.00868895993095071
repository,668493044,2,493,0.00868895993095071
repository,1002552148,1,494,0.009538924442368682
repository,216883277,1,494,0.008671370943236235
repository,826170402,1,494,0.008064083493843523
repository,981760967,1,494,0.008671370943236235
repository,10458362,1,494,0.008671370943236235
repository,722878666,1,494,0.008671370943236235
repository,747691207,13,482,0.011274794391602387
repository,599431918,1,494,0.008671370943236235
repository,665613753,1,494,0.008671370943236235
repository,1025125300,2,493,0.00868895993095071
repository,617799085,1,494,0.008671370943236235
repository,333158293,1,494,0.008671370943236235
repository,115110181,1,494,0.008671370943236235
repository,836853050,1,494,0.007153152319754454
repository,614258120,1,494,0.008495345595586174
repository,1046818288,4,491,0.008724352843093076
repository,981108483,1,494,0.008671370943236235
repository,586920414,3,492,0.008706620418615245
repository,41117523,8,487,0.010274450197040453
repository,1021219064,1,494,0.008671370943236235
repository,922104035,1,494,0.008671370943236235
repository,25868356,2,493,0.00868895993095071
repository,933720213,1,494,0.00968351669222409
repository,1054534794,2,493,0.00868895993095071
repository,173787329,1,494,0.008526778693380829
repository,985303505,2,493,0.00868895993095071
repository,553878560,1,494,0.007996607110577666
repository,24088847,1,494,0.007321843277919096
repository,710601088,5,490,0.0070414773727048305
repository,1006702352,1,494,0.008671370943236235
repository,224208127,1,494,0.007659225194248382
repository,1042367133,1,494,0.008671370943236235
repository,600113513,1,494,0.008671370943236235
repository,762304524,4,491,0.00974268278199328
repository,141720301,1,494,0.008671370943236235
repository,1029550379,1,494,0.008671370943236235
repository,724734036,2,493,0.00868895993095071
repository,929338255,5,490,0.008742157644813673
repository,948993169,2,493,0.00868895993095071
repository,449656810,1,494,0.008671370943236235
repository,1026981142,1,494,0.008671370943236235
repository,85431399,3,492,0.008300116353574595
repository,4213474,2,493,0.00868895993095071
repository,389284278,4,491,0.008724352843093076
repository,986861312,1,494,0.008671370943236235
repository,729514185,1,494,0.008468941793438666
