feature,value,n,human_mediation_48h,author_agent_response_48h,reviewer_continuation_48h,force_push_48h
asks_action,0,1851,0.44192328471096703,0.1458670988654781,0.16639654240950838,0.1085899513776337
asks_action,1,6757,0.41216516205416603,0.11425188693207045,0.18410537220660056,0.11439988160426225
mentions_defect,0,5661,0.4260731319554849,0.11323087793676029,0.15156332803391626,0.11605723370429252
mentions_defect,1,2947,0.4041398031896844,0.13607058025110283,0.2354937224295894,0.10756701730573465
mentions_test,0,6273,0.4256336681013869,0.12115415271799777,0.16865933365216004,0.10903873744619799
mentions_test,1,2335,0.39957173447537475,0.12077087794432548,0.21156316916488221,0.12419700214132762
mentions_location,0,1254,0.39952153110047844,0.1419457735247209,0.15629984051036683,0.10287081339712918
mentions_location,1,7354,0.4218112591786783,0.11748708186021213,0.1843894479194996,0.11490345390263802
has_question,0,5426,0.3977147069664578,0.09767784740140066,0.1575746406192407,0.11131588647253962
has_question,1,3182,0.4541169076052797,0.16090509113764928,0.2190446260213702,0.11627906976744186
has_code,0,1768,0.38687782805429866,0.12160633484162896,0.14027149321266968,0.09728506787330317
has_code,1,6840,0.4267543859649123,0.12090643274853802,0.19064327485380117,0.11725146198830409
has_suggestion_patch,0,6595,0.4230477634571645,0.1291887793783169,0.19347990902198636,0.1109931766489765
has_suggestion_patch,1,2013,0.4038748137108793,0.09438648782911079,0.13710879284649777,0.12021857923497267
has_severity_cue,0,7204,0.4097723486951694,0.10105496946141032,0.16116046640755136,0.1120210993892282
has_severity_cue,1,1404,0.4636752136752137,0.22364672364672364,0.27849002849002846,0.11894586894586895
is_inline,0,3784,0.3882135306553911,0.11627906976744186,0.17389006342494714,0.09090909090909091
is_inline,1,4824,0.4423714759535655,0.12479270315091211,0.1853233830845771,0.13059701492537312
