unit_type,unit,rank,pairs,share_of_pairs,cumulative_share
ordered_product_pair,OpenAI_Codex -> Claude_Code,1,152,0.2783882783882784,0.2783882783882784
ordered_product_pair,OpenAI_Codex -> Copilot,2,145,0.26556776556776557,0.543956043956044
ordered_product_pair,Copilot -> OpenAI_Codex,3,73,0.1336996336996337,0.6776556776556777
ordered_product_pair,OpenAI_Codex -> Cursor,4,53,0.09706959706959707,0.7747252747252747
ordered_product_pair,Copilot -> Claude_Code,5,44,0.08058608058608059,0.8553113553113554
ordered_product_pair,Copilot -> Cursor,6,33,0.06043956043956044,0.9157509157509158
ordered_product_pair,OpenAI_Codex -> Devin,7,21,0.038461538461538464,0.9542124542124543
ordered_product_pair,Cursor -> OpenAI_Codex,8,11,0.020146520146520148,0.9743589743589745
ordered_product_pair,Devin -> Cursor,9,6,0.01098901098901099,0.9853479853479854
ordered_product_pair,Cursor -> Copilot,10,5,0.009157509157509158,0.9945054945054945
ordered_product_pair,Cursor -> Claude_Code,11,3,0.005494505494505495,1.0
repository,EvotecIT/OfficeIMO,1,114,0.2087912087912088,0.2087912087912088
repository,mysticaltech/terraform-hcloud-kube-hetzner,2,26,0.047619047619047616,0.2564102564102564
repository,thomhurst/TUnit,3,25,0.045787545787545784,0.3021978021978022
repository,dvlin-dev/moryflow,4,16,0.029304029304029304,0.3315018315018315
repository,rvdbreemen/OTGW-firmware,5,15,0.027472527472527472,0.358974358974359
repository,web-infra-dev/rspack,6,12,0.02197802197802198,0.38095238095238093
repository,Zero-to-Heroes/firestone,7,11,0.020146520146520148,0.40109890109890106
repository,Shelf-nu/shelf.nu,8,9,0.016483516483516484,0.41758241758241754
repository,rudrankriyam/App-Store-Connect-CLI,9,9,0.016483516483516484,0.434065934065934
repository,web-infra-dev/rsbuild,10,9,0.016483516483516484,0.4505494505494505
repository,EvotecIT/Mailozaurr,11,8,0.014652014652014652,0.46520146520146516
repository,davidmerfield/blot,12,8,0.014652014652014652,0.4798534798534798
repository,marin-community/marin,13,7,0.01282051282051282,0.49267399267399264
repository,phodal/routa,14,7,0.01282051282051282,0.5054945054945055
repository,thedotmack/claude-mem,15,7,0.01282051282051282,0.5183150183150182
repository,FrankChen021/datastoria,16,6,0.01098901098901099,0.5293040293040292
repository,havit/Havit.Blazor,17,6,0.01098901098901099,0.5402930402930401
repository,Asymmetric-al/core,18,5,0.009157509157509158,0.5494505494505493
repository,OliverZhaohaibin/iPhotron-LocalPhotoAlbumManager,19,5,0.009157509157509158,0.5586080586080584
repository,TracecatHQ/tracecat,20,5,0.009157509157509158,0.5677655677655675
