exclusion_unit,excluded_group,pairs_dropped,pairs_remaining,paired_difference,shift_from_overall
repository,514-labs/moosestack,1,545,-0.13394495412844037,-0.0002453204288066779
repository,AJaySi/ALwrity,4,542,-0.13653136531365315,-0.0028317316140194504
repository,AVIDS2/memorix,1,545,-0.13394495412844037,-0.0002453204288066779
repository,AdaEngine/AdaEngine,1,545,-0.13211009174311927,0.001589541956514423
repository,Agenta-AI/agenta,1,545,-0.13211009174311927,0.001589541956514423
repository,Asymmetric-al/core,5,541,-0.13123844731977818,0.0024611863798555123
repository,AtsushiSakai/PythonRobotics,1,545,-0.13211009174311927,0.001589541956514423
repository,Automattic/jetpack,2,544,-0.13419117647058823,-0.0004915427709545339
repository,BYVoid/OpenCC,2,544,-0.13602941176470587,-0.0023297780650721744
repository,BerriAI/litellm,3,543,-0.13259668508287292,0.0011029486167607738
repository,Cap-go/capacitor-social-login,1,545,-0.13394495412844037,-0.0002453204288066779
repository,Cap-go/capgo,1,545,-0.13394495412844037,-0.0002453204288066779
repository,CelestoAI/SmolVM,1,545,-0.13394495412844037,-0.0002453204288066779
repository,Cocoanetics/SwiftMCP,1,545,-0.13577981651376148,-0.002080182814127779
repository,Comfy-Org/ComfyUI_frontend,2,544,-0.13419117647058823,-0.0004915427709545339
repository,Divkix/Alita_Robot,1,545,-0.13394495412844037,-0.0002453204288066779
repository,EvotecIT/HtmlTinkerX,3,543,-0.13259668508287292,0.0011029486167607738
repository,EvotecIT/Mailozaurr,8,538,-0.12825278810408922,0.0054468455955444806
repository,EvotecIT/OfficeIMO,114,432,-0.09259259259259259,0.04110704110704111
repository,EvotecIT/PSEventViewer,2,544,-0.1323529411764706,0.0013466925231631066
repository,EvotecIT/PSWriteHTML,1,545,-0.13394495412844037,-0.0002453204288066779
repository,Fannon/search-bookmarks-history-and-tabs,1,545,-0.13394495412844037,-0.0002453204288066779
repository,Floorp-Projects/Floorp,1,545,-0.13394495412844037,-0.0002453204288066779
repository,FrankChen021/datastoria,6,540,-0.1388888888888889,-0.005189255189255199
repository,GLEECBTC/gleec-wallet,1,545,-0.13577981651376148,-0.002080182814127779
repository,GitbookIO/gitbook,2,544,-0.13419117647058823,-0.0004915427709545339
repository,GitoxideLabs/gitoxide,2,544,-0.13419117647058823,-0.0004915427709545339
repository,Humanizr/Humanizer,2,544,-0.13419117647058823,-0.0004915427709545339
repository,JMS1717/8mb.local,1,545,-0.13394495412844037,-0.0002453204288066779
repository,JordanCoin/codemap,3,543,-0.13075506445672191,0.002944569242911782
repository,MetaMask/metamask-mobile,2,544,-0.13419117647058823,-0.0004915427709545339
repository,NethermindEth/nethermind,3,543,-0.13627992633517497,-0.0025802926355412703
repository,Nonary/vibeshine,2,544,-0.1323529411764706,0.0013466925231631066
repository,NuGetPackageExplorer/NuGetPackageExplorer,1,545,-0.13394495412844037,-0.0002453204288066779
repository,OliverZhaohaibin/iPhotron-LocalPhotoAlbumManager,5,541,-0.13863216266173753,-0.004932528962103833
repository,OneKeyHQ/app-monorepo,4,542,-0.13468634686346864,-0.0009867131638349458
repository,OneNoteDev/WebClipper,1,545,-0.13394495412844037,-0.0002453204288066779
repository,OpenMS/OpenMS,1,545,-0.13577981651376148,-0.002080182814127779
repository,PostHog/posthog,3,543,-0.13259668508287292,0.0011029486167607738
repository,PriorLabs/tabpfn-extensions,1,545,-0.13211009174311927,0.001589541956514423
repository,RustPython/RustPython,1,545,-0.13394495412844037,-0.0002453204288066779
repository,Shelf-nu/shelf.nu,9,537,-0.1340782122905028,-0.0003785785908690942
repository,Significant-Gravitas/AutoGPT,2,544,-0.13419117647058823,-0.0004915427709545339
repository,StanfordVL/BEHAVIOR-1K,2,544,-0.13419117647058823,-0.0004915427709545339
repository,StarRocks/starrocks,1,545,-0.13394495412844037,-0.0002453204288066779
repository,SwitchbackTech/compass,3,543,-0.13259668508287292,0.0011029486167607738
repository,TracecatHQ/tracecat,5,541,-0.13493530499075784,-0.0012356712911241463
repository,VRSEN/agency-swarm,1,545,-0.13577981651376148,-0.002080182814127779
repository,WeblateOrg/weblate,4,542,-0.13653136531365315,-0.0028317316140194504
repository,Zero-to-Heroes/firestone,11,535,-0.13644859813084112,-0.0027489644312074235
repository,actualbudget/actual,2,544,-0.13419117647058823,-0.0004915427709545339
repository,afreakyelf/Pdf-Viewer,1,545,-0.13394495412844037,-0.0002453204288066779
repository,agent-sh/agnix,1,545,-0.13394495412844037,-0.0002453204288066779
repository,alanagoyal/alanagoyal,1,545,-0.13394495412844037,-0.0002453204288066779
repository,allenai/open-instruct,5,541,-0.133086876155268,0.000612757544365683
repository,alshedivat/al-folio,1,545,-0.13394495412844037,-0.0002453204288066779
repository,aptos-labs/aptos-core,1,545,-0.13394495412844037,-0.0002453204288066779
repository,ariakit/ariakit,5,541,-0.1367837338262477,-0.0030841001266140033
repository,assistant-ui/assistant-ui,1,545,-0.13394495412844037,-0.0002453204288066779
repository,backbay-labs/clawdstrike,1,545,-0.13211009174311927,0.001589541956514423
repository,benjamincrozat/blog-v5,1,545,-0.13577981651376148,-0.002080182814127779
repository,bililive-go/bililive-go,2,544,-0.13419117647058823,-0.0004915427709545339
repository,binarywang/WxJava,3,543,-0.13627992633517497,-0.0025802926355412703
repository,bomzheg/Shvatka,1,545,-0.13394495412844037,-0.0002453204288066779
repository,bpwhelan/GameSentenceMiner,1,545,-0.13577981651376148,-0.002080182814127779
repository,clduab11/gemini-flow,1,545,-0.13211009174311927,0.001589541956514423
repository,cossistantcom/cossistant,2,544,-0.13419117647058823,-0.0004915427709545339
repository,crewAIInc/crewAI,4,542,-0.13468634686346864,-0.0009867131638349458
repository,davidmerfield/blot,8,538,-0.137546468401487,-0.003846834701853291
repository,dotnet/nuget-trends,1,545,-0.13394495412844037,-0.0002453204288066779
