omitted_product_pair,omitted_rows,n,prior_reviewer_share
OpenAI_Codex -> Copilot,1126,2477,0.7383932176019379
Claude_Code -> Copilot,416,3187,0.7182303106369626
Devin -> Copilot,286,3317,0.694000602954477
OpenAI_Codex -> Claude_Code,285,3318,0.7163954189270645
Copilot -> OpenAI_Codex,239,3364,0.7012485136741974
Cursor -> Copilot,181,3422,0.717124488603156
OpenAI_Codex -> Cursor,153,3450,0.7188405797101449
OpenAI_Codex -> Devin,143,3460,0.7109826589595376
Claude_Code -> Cursor,140,3463,0.7149870054865723
Copilot -> Cursor,118,3485,0.7076040172166428
Copilot -> Claude_Code,95,3508,0.7106613454960091
Google_Jules -> Copilot,78,3525,0.7080851063829787
Claude_Code -> OpenAI_Codex,68,3535,0.7151343705799151
Devin -> OpenAI_Codex,56,3547,0.7079221877643078
Cursor -> Claude_Code,52,3551,0.7124753590537877
Cursor -> OpenAI_Codex,49,3554,0.7135621834552617
Devin -> Claude_Code,45,3558,0.7096683530073075
Devin -> Cursor,25,3578,0.7126886528787032
Claude_Code -> Devin,22,3581,0.7165596202178163
Cursor -> Devin,9,3594,0.7122982749026154
Google_Jules -> OpenAI_Codex,6,3597,0.7122602168473728
Copilot -> Devin,6,3597,0.7125382262996942
Google_Jules -> Devin,5,3598,0.7120622568093385
