specification,population,outcome,anchor_dependence,pairs,repositories,cross_rate,same_rate,paired_difference,pair_bootstrap_ci_low,pair_bootstrap_ci_high,repository_cluster_bootstrap_ci_low,repository_cluster_bootstrap_ci_high
exact_author_user,all_matched_pairs,any_visible_followup,partial,546,149,0.6813186813186813,0.815018315018315,-0.1336996336996337,-0.18315018315018314,-0.08608058608058608,-0.19926850120651357,-0.03970223325062035
exact_author_user,all_matched_pairs,later_pr_comment,none,546,149,0.38461538461538464,0.5384615384615384,-0.15384615384615385,-0.20695970695970695,-0.10256410256410256,-0.33198994323054043,0.025761425915642577
exact_author_user,all_matched_pairs,new_review_round,none,546,149,0.5256410256410257,0.5183150183150184,0.007326007326007326,-0.04395604395604396,0.05860805860805861,-0.13478563448468484,0.13278774000827767
exact_author_user,all_matched_pairs,exact_trigger_reply,full,546,149,0.07509157509157509,0.08424908424908426,-0.009157509157509158,-0.03663003663003663,0.018315018315018316,-0.03990610328638498,0.017822666195190934
exact_author_user,all_matched_pairs,visible_force_push,none,546,149,0.10989010989010989,0.09157509157509157,0.018315018315018316,-0.016483516483516484,0.05311355311355311,-0.016018306636155607,0.04778827554523912
exact_author_user,all_matched_pairs,merge_within_7d,none,546,149,0.7344322344322345,0.706959706959707,0.027472527472527472,-0.018315018315018316,0.07142857142857142,-0.02852643163089749,0.10249638038067152
exact_author_user,both_triggers_inline_channel,any_visible_followup,partial,253,105,0.7391304347826086,0.8458498023715415,-0.1067193675889328,-0.17391304347826086,-0.043478260869565216,-0.1872791519434629,-0.0273972602739726
exact_author_user,both_triggers_inline_channel,later_pr_comment,none,253,105,0.3952569169960474,0.391304347826087,0.003952569169960474,-0.06719367588932806,0.07509881422924901,-0.06639044670643153,0.07719365982523876
exact_author_user,both_triggers_inline_channel,new_review_round,none,253,105,0.6640316205533597,0.8023715415019763,-0.1383399209486166,-0.20948616600790515,-0.06719367588932806,-0.2226426985888695,-0.04912022703818373
exact_author_user,both_triggers_inline_channel,exact_trigger_reply,full,253,105,0.16205533596837945,0.18181818181818182,-0.019762845849802372,-0.07905138339920949,0.039525691699604744,-0.08056915438432026,0.03676771938283506
exact_author_user,both_triggers_inline_channel,visible_force_push,none,253,105,0.09486166007905138,0.08300395256916997,0.011857707509881422,-0.02766798418972332,0.05138339920948617,-0.033457637927548176,0.05668016194331984
exact_author_user,both_triggers_inline_channel,merge_within_7d,none,253,105,0.7193675889328063,0.6363636363636364,0.08300395256916997,0.015810276679841896,0.15019762845849802,0.016459218781623156,0.15360105580693809
exact_author_user,both_triggers_open_their_own_thread,any_visible_followup,partial,241,99,0.7468879668049793,0.8381742738589212,-0.0912863070539419,-0.15767634854771784,-0.024896265560165973,-0.17647611676249447,-0.008769081795397626
exact_author_user,both_triggers_open_their_own_thread,later_pr_comment,none,241,99,0.3900414937759336,0.3817427385892116,0.008298755186721992,-0.06224066390041494,0.07883817427385892,-0.06557676199593156,0.08597406704617329
exact_author_user,both_triggers_open_their_own_thread,new_review_round,none,241,99,0.6721991701244814,0.7925311203319502,-0.12033195020746888,-0.1950207468879668,-0.04979253112033195,-0.21052631578947367,-0.028295274202080858
exact_author_user,both_triggers_open_their_own_thread,exact_trigger_reply,full,241,99,0.15767634854771784,0.1908713692946058,-0.03319502074688797,-0.0954356846473029,0.029045643153526972,-0.09523809523809523,0.024097840637913953
exact_author_user,both_triggers_open_their_own_thread,visible_force_push,none,241,99,0.0995850622406639,0.08713692946058091,0.012448132780082987,-0.029045643153526972,0.05394190871369295,-0.03585702034909689,0.060085836909871244
exact_author_user,both_triggers_open_their_own_thread,merge_within_7d,none,241,99,0.7178423236514523,0.6390041493775933,0.07883817427385892,0.012448132780082987,0.14937759336099585,0.009750290360046463,0.15018351214003386
