omitted_product_pair,first_owner_state,metric,prs,repositories,estimate,full_estimate,change_from_full
Claude_Code -> Copilot,user_account,exact_owner_persistence,1299,432,0.28560431100846806,0.30962059620596205,-0.02401628519749399
Claude_Code -> Copilot,user_account,layer_persistence,1299,432,0.5103926096997691,0.540650406504065,-0.030257796804295967
Claude_Code -> Copilot,user_account,cross_layer_handoff,1299,432,0.3479599692070824,0.31910569105691056,0.02885427815017183
Claude_Code -> Copilot,mapped_product,exact_owner_persistence,600,218,0.45666666666666667,0.4447900466562986,0.011876620010368044
Claude_Code -> Copilot,mapped_product,layer_persistence,600,218,0.55,0.5334370139968896,0.016562986003110458
Claude_Code -> Copilot,mapped_product,cross_layer_handoff,600,218,0.33,0.3297045101088647,0.0002954898911353143
Claude_Code -> Copilot,user_minus_mapped,exact_owner_persistence,1899,537,-0.1710623556581986,-0.13516945045033657,-0.035892905207862036
Claude_Code -> Copilot,user_minus_mapped,layer_persistence,1899,537,-0.03960739030023097,0.0072133925071754534,-0.046820782807406425
Claude_Code -> Copilot,user_minus_mapped,cross_layer_handoff,1899,537,0.01795996920708237,-0.010598819051954145,0.028558788259036516
Claude_Code -> Cursor,user_account,exact_owner_persistence,1426,477,0.3141654978962132,0.30962059620596205,0.004544901690251124
Claude_Code -> Cursor,user_account,layer_persistence,1426,477,0.5392706872370266,0.540650406504065,-0.0013797192670383929
Claude_Code -> Cursor,user_account,cross_layer_handoff,1426,477,0.3246844319775596,0.31910569105691056,0.005578740920649028
Claude_Code -> Cursor,mapped_product,exact_owner_persistence,617,238,0.44408427876823336,0.4447900466562986,-0.0007057678880652563
Claude_Code -> Cursor,mapped_product,layer_persistence,617,238,0.5348460291734197,0.5334370139968896,0.0014090151765301373
Claude_Code -> Cursor,mapped_product,cross_layer_handoff,617,238,0.33063209076175043,0.3297045101088647,0.0009275806528857289
Claude_Code -> Cursor,user_minus_mapped,exact_owner_persistence,2043,592,-0.1299187808720202,-0.13516945045033657,0.00525066957831638
