omitted_product_pair,first_owner_state,metric,prs,repositories,estimate,full_estimate,change_from_full
Claude_Code -> Copilot,user_account,exact_owner_persistence,2070,594,0.17922705314009663,0.1958011996572408,-0.016574146517144173
Claude_Code -> Copilot,user_account,layer_persistence,2070,594,0.32028985507246377,0.34190231362467866,-0.021612458552214886
Claude_Code -> Copilot,user_account,cross_layer_handoff,2070,594,0.21835748792270532,0.20179948586118251,0.016558002061522803
Claude_Code -> Copilot,user_account,no_next_action,2070,594,0.372463768115942,0.3676092544987147,0.0048545136172273295
Claude_Code -> Copilot,mapped_product,exact_owner_persistence,850,290,0.32235294117647056,0.3167220376522702,0.00563090352420037
Claude_Code -> Copilot,mapped_product,layer_persistence,850,290,0.38823529411764707,0.3798449612403101,0.008390332877336981
Claude_Code -> Copilot,mapped_product,cross_layer_handoff,850,290,0.23294117647058823,0.23477297895902546,-0.0018318024884372286
Claude_Code -> Copilot,mapped_product,no_next_action,850,290,0.29411764705882354,0.28792912513842744,0.006188521920396095
Claude_Code -> Copilot,user_minus_mapped,exact_owner_persistence,2920,718,-0.14312588803637394,-0.1209208379950294,-0.022205050041344543
Claude_Code -> Copilot,user_minus_mapped,layer_persistence,2920,718,-0.0679454390451833,-0.03794264761563143,-0.030002791429551867
Claude_Code -> Copilot,user_minus_mapped,cross_layer_handoff,2920,718,-0.014583688547882917,-0.03297349309784295,0.01838980454996003
Claude_Code -> Copilot,user_minus_mapped,no_next_action,2920,718,0.07834612105711847,0.07968012936028723,-0.0013340083031687655
Claude_Code -> Cursor,user_account,exact_owner_persistence,2265,653,0.1977924944812362,0.1958011996572408,0.0019912948239954043
Claude_Code -> Cursor,user_account,layer_persistence,2265,653,0.33951434878587194,0.34190231362467866,-0.002387964838806711
Claude_Code -> Cursor,user_account,cross_layer_handoff,2265,653,0.2044150110375276,0.20179948586118251,0.002615525176345085
Claude_Code -> Cursor,user_account,no_next_action,2265,653,0.37041942604856515,0.3676092544987147,0.002810171549850471
Claude_Code -> Cursor,mapped_product,exact_owner_persistence,872,314,0.31422018348623854,0.3167220376522702,-0.0025018541660316584
Claude_Code -> Cursor,mapped_product,layer_persistence,872,314,0.37844036697247707,0.3798449612403101,-0.0014045942678330148
Claude_Code -> Cursor,mapped_product,cross_layer_handoff,872,314,0.23394495412844038,0.23477297895902546,-0.0008280248305850835
Claude_Code -> Cursor,mapped_product,no_next_action,872,314,0.29243119266055045,0.28792912513842744,0.00450206752212301
Claude_Code -> Cursor,user_minus_mapped,exact_owner_persistence,3137,788,-0.11642768900500233,-0.1209208379950294,0.004493148990027063
Claude_Code -> Cursor,user_minus_mapped,layer_persistence,3137,788,-0.03892601818660513,-0.03794264761563143,-0.0009833705709736962
Claude_Code -> Cursor,user_minus_mapped,cross_layer_handoff,3137,788,-0.02952994309091278,-0.03297349309784295,0.0034435500069301683
Claude_Code -> Cursor,user_minus_mapped,no_next_action,3137,788,0.0779882333880147,0.07968012936028723,-0.001691895972272539
Claude_Code -> Devin,user_account,exact_owner_persistence,2333,672,0.1954564937848264,0.1958011996572408,-0.00034470587241439143
Claude_Code -> Devin,user_account,layer_persistence,2333,672,0.3416202314616374,0.34190231362467866,-0.000282082163041264
Claude_Code -> Devin,user_account,cross_layer_handoff,2333,672,0.20188598371195884,0.20179948586118251,8.649785077632921e-05
Claude_Code -> Devin,user_account,no_next_action,2333,672,0.367766823831976,0.3676092544987147,0.0001575693332613315
Claude_Code -> Devin,mapped_product,exact_owner_persistence,900,323,0.31555555555555553,0.3167220376522702,-0.0011664820967146605
Claude_Code -> Devin,mapped_product,layer_persistence,900,323,0.3788888888888889,0.3798449612403101,-0.0009560723514212
Claude_Code -> Devin,mapped_product,cross_layer_handoff,900,323,0.23555555555555555,0.23477297895902546,0.0007825765965300824
Claude_Code -> Devin,mapped_product,no_next_action,900,323,0.2877777777777778,0.28792912513842744,-0.00015134736064964516
Claude_Code -> Devin,user_minus_mapped,exact_owner_persistence,3233,809,-0.12009906177072913,-0.1209208379950294,0.0008217762243002691
Claude_Code -> Devin,user_minus_mapped,layer_persistence,3233,809,-0.037268657427251495,-0.03794264761563143,0.000673990188379936
Claude_Code -> Devin,user_minus_mapped,cross_layer_handoff,3233,809,-0.0336695718435967,-0.03297349309784295,-0.0006960787457537532
