first_owner,prs,median_hours,share_all_prs
no_observed_action,3055,,0.3549024163568773
other_human,1537,0.5116666666666667,0.17855483271375464
author_human,843,0.3547222222222222,0.097932156133829
unknown,797,0.05305555555555556,0.09258828996282527
other_bot,627,0.03722222222222222,0.07283921933085502
triggering_reviewer,593,0.27944444444444444,0.06888940520446096
author_agent,552,0.043611111111111114,0.06412639405204461
author_account_untyped,411,0.4113888888888889,0.04774628252788104
other_agent,159,0.03305555555555555,0.018471189591078067
branch_actor_untyped,32,1.1166666666666667,0.0037174721189591076
simultaneous_owners,2,0.005694444444444445,0.00023234200743494423
