exclusion_unit,metric,full_estimate,loo_min,loo_max,exclusions
author_reviewer_pair,known_human_first_share,0.27648698884758366,0.2582538517975055,0.29540559942569994,25
author_reviewer_pair,mapped_agent_first_share,0.15148698884758363,0.14247173689619733,0.1927494615936827,25
author_reviewer_pair,no_action_share,0.3549024163568773,0.32106963388370424,0.36133528980190754,25
author_reviewer_pair,direct_reply_pr_share,0.08480483271375465,0.07919961658279415,0.09288283658787255,25
author_reviewer_pair,strict_cross_product_dialogue_share,0.008596654275092937,0.004687133817670494,0.012921751615218953,25
repository,known_human_first_share,0.27648698884758366,0.26003824091778205,0.2823445318084346,1416
repository,mapped_agent_first_share,0.15148698884758363,0.14672448142505568,0.1554732313575526,1416
repository,no_action_share,0.3549024163568773,0.3420616113744076,0.3641252390057361,1416
repository,direct_reply_pr_share,0.08480483271375465,0.08109691784835345,0.08696688110555159,1416
repository,strict_cross_product_dialogue_share,0.008596654275092937,0.004687683112621587,0.00881582082439838,1416
