exclusion_unit,excluded_group,route,n_prs,estimate
author_reviewer_pair,Claude_Code -> Copilot,automation_no_human,1526,0.0850349758059857
author_reviewer_pair,Claude_Code -> Copilot,automation_then_human,1526,0.21769574579565232
author_reviewer_pair,Claude_Code -> Copilot,human_first,1526,0.1573827204316104
author_reviewer_pair,Claude_Code -> Copilot,movement_only,1526,0.28133323218559264
author_reviewer_pair,Claude_Code -> Copilot,other_activity,1526,0.03304245725516691
author_reviewer_pair,Claude_Code -> Cursor,automation_no_human,1665,0.0907615973066217
author_reviewer_pair,Claude_Code -> Cursor,automation_then_human,1665,0.22098222474958815
author_reviewer_pair,Claude_Code -> Cursor,human_first,1665,0.15532098677423084
author_reviewer_pair,Claude_Code -> Cursor,movement_only,1665,0.20561308406058568
author_reviewer_pair,Claude_Code -> Cursor,other_activity,1665,0.06917159843420752
author_reviewer_pair,Claude_Code -> Devin,automation_no_human,1731,0.09093820137411313
author_reviewer_pair,Claude_Code -> Devin,automation_then_human,1731,0.22348351946420714
author_reviewer_pair,Claude_Code -> Devin,human_first,1731,0.16159980314002292
author_reviewer_pair,Claude_Code -> Devin,movement_only,1731,0.19924246322896064
author_reviewer_pair,Claude_Code -> Devin,other_activity,1731,0.0780063959485502
author_reviewer_pair,Claude_Code -> OpenAI_Codex,automation_no_human,1695,0.08324615595207507
author_reviewer_pair,Claude_Code -> OpenAI_Codex,automation_then_human,1695,0.2299576335554899
author_reviewer_pair,Claude_Code -> OpenAI_Codex,human_first,1695,0.15366452348104115
author_reviewer_pair,Claude_Code -> OpenAI_Codex,movement_only,1695,0.18960382178595286
author_reviewer_pair,Claude_Code -> OpenAI_Codex,other_activity,1695,0.07772499673365148
author_reviewer_pair,Copilot -> Claude_Code,automation_no_human,1675,0.08928752399235473
author_reviewer_pair,Copilot -> Claude_Code,automation_then_human,1675,0.2305242670087374
author_reviewer_pair,Copilot -> Claude_Code,human_first,1675,0.1580021509571749
author_reviewer_pair,Copilot -> Claude_Code,movement_only,1675,0.19734819142703178
author_reviewer_pair,Copilot -> Claude_Code,other_activity,1675,0.08777447500968195
author_reviewer_pair,Copilot -> Cursor,automation_no_human,1662,0.08997816298529793
author_reviewer_pair,Copilot -> Cursor,automation_then_human,1662,0.2248909963897054
author_reviewer_pair,Copilot -> Cursor,human_first,1662,0.15910821581650525
author_reviewer_pair,Copilot -> Cursor,movement_only,1662,0.1971220143141003
author_reviewer_pair,Copilot -> Cursor,other_activity,1662,0.06008851367200568
author_reviewer_pair,Copilot -> Devin,automation_no_human,1729,0.09162518901503147
author_reviewer_pair,Copilot -> Devin,automation_then_human,1729,0.22435010919748793
author_reviewer_pair,Copilot -> Devin,human_first,1729,0.16233689646773986
author_reviewer_pair,Copilot -> Devin,movement_only,1729,0.20029070578228803
author_reviewer_pair,Copilot -> Devin,other_activity,1729,0.07854809158356578
author_reviewer_pair,Copilot -> OpenAI_Codex,automation_no_human,1652,0.09926402727429218
author_reviewer_pair,Copilot -> OpenAI_Codex,automation_then_human,1652,0.2110966358538658
author_reviewer_pair,Copilot -> OpenAI_Codex,human_first,1652,0.165590199140948
author_reviewer_pair,Copilot -> OpenAI_Codex,movement_only,1652,0.20067907655142198
author_reviewer_pair,Copilot -> OpenAI_Codex,other_activity,1652,0.08223796683046772
author_reviewer_pair,Cursor -> Claude_Code,automation_no_human,1691,0.09646360514535735
author_reviewer_pair,Cursor -> Claude_Code,automation_then_human,1691,0.21532207104968104
author_reviewer_pair,Cursor -> Claude_Code,human_first,1691,0.16167520683633926
author_reviewer_pair,Cursor -> Claude_Code,movement_only,1691,0.1997005796572939
author_reviewer_pair,Cursor -> Claude_Code,other_activity,1691,0.07766596014459014
author_reviewer_pair,Cursor -> Copilot,automation_no_human,1626,0.08759140776975516
author_reviewer_pair,Cursor -> Copilot,automation_then_human,1626,0.23553390925726295
author_reviewer_pair,Cursor -> Copilot,human_first,1626,0.17154226984090518
author_reviewer_pair,Cursor -> Copilot,movement_only,1626,0.18650136916528096
author_reviewer_pair,Cursor -> Copilot,other_activity,1626,0.07767760499869603
author_reviewer_pair,Cursor -> Devin,automation_no_human,1730,0.09258879539799547
author_reviewer_pair,Cursor -> Devin,automation_then_human,1730,0.22400424535789853
author_reviewer_pair,Cursor -> Devin,human_first,1730,0.16331390621696643
author_reviewer_pair,Cursor -> Devin,movement_only,1730,0.20103311564858212
author_reviewer_pair,Cursor -> Devin,other_activity,1730,0.07882432255273558
author_reviewer_pair,Cursor -> OpenAI_Codex,automation_no_human,1667,0.10524570831300706
author_reviewer_pair,Cursor -> OpenAI_Codex,automation_then_human,1667,0.23454623646234848
author_reviewer_pair,Cursor -> OpenAI_Codex,human_first,1667,0.16107233219587752
author_reviewer_pair,Cursor -> OpenAI_Codex,movement_only,1667,0.2033002252876362
author_reviewer_pair,Cursor -> OpenAI_Codex,other_activity,1667,0.08455038417745658
author_reviewer_pair,Devin -> Claude_Code,automation_no_human,1703,0.09108632860948096
author_reviewer_pair,Devin -> Claude_Code,automation_then_human,1703,0.2277321936547715
author_reviewer_pair,Devin -> Claude_Code,human_first,1703,0.16482672225822054
author_reviewer_pair,Devin -> Claude_Code,movement_only,1703,0.2001421804623446
author_reviewer_pair,Devin -> Claude_Code,other_activity,1703,0.08289672271125575
author_reviewer_pair,Devin -> Copilot,automation_no_human,1687,0.09185548547225819
author_reviewer_pair,Devin -> Copilot,automation_then_human,1687,0.22121902833168075
author_reviewer_pair,Devin -> Copilot,human_first,1687,0.1542622668095584
author_reviewer_pair,Devin -> Copilot,movement_only,1687,0.19632721044614238
author_reviewer_pair,Devin -> Copilot,other_activity,1687,0.0667544398927692
author_reviewer_pair,Devin -> Cursor,automation_no_human,1668,0.09592383715492836
author_reviewer_pair,Devin -> Cursor,automation_then_human,1668,0.2255917307080493
author_reviewer_pair,Devin -> Cursor,human_first,1668,0.16170897039584944
author_reviewer_pair,Devin -> Cursor,movement_only,1668,0.2029325185862726
author_reviewer_pair,Devin -> Cursor,other_activity,1668,0.07835646566744527
author_reviewer_pair,Google_Jules -> Claude_Code,automation_no_human,1732,0.09316703252927161
author_reviewer_pair,Google_Jules -> Claude_Code,automation_then_human,1732,0.22440731813908912
author_reviewer_pair,Google_Jules -> Claude_Code,human_first,1732,0.1626186932316574
author_reviewer_pair,Google_Jules -> Claude_Code,movement_only,1732,0.20045987017989703
author_reviewer_pair,Google_Jules -> Claude_Code,other_activity,1732,0.07883642373442662
author_reviewer_pair,Google_Jules -> Copilot,automation_no_human,1720,0.09179199194814125
author_reviewer_pair,Google_Jules -> Copilot,automation_then_human,1720,0.22559769272854877
author_reviewer_pair,Google_Jules -> Copilot,human_first,1720,0.16110090124312032
author_reviewer_pair,Google_Jules -> Copilot,movement_only,1720,0.19897322771131473
author_reviewer_pair,Google_Jules -> Copilot,other_activity,1720,0.07814313366237685
author_reviewer_pair,Google_Jules -> Devin,automation_no_human,1732,0.09197000272682754
author_reviewer_pair,Google_Jules -> Devin,automation_then_human,1732,0.2270382680095734
author_reviewer_pair,Google_Jules -> Devin,human_first,1732,0.16279908907974733
author_reviewer_pair,Google_Jules -> Devin,movement_only,1732,0.2006925458433308
author_reviewer_pair,Google_Jules -> Devin,other_activity,1732,0.07905654486449089
author_reviewer_pair,Google_Jules -> OpenAI_Codex,automation_no_human,1725,0.09301505412653122
author_reviewer_pair,Google_Jules -> OpenAI_Codex,automation_then_human,1725,0.22718982216870728
author_reviewer_pair,Google_Jules -> OpenAI_Codex,human_first,1725,0.16502566627524312
