exclusion_unit,route,full_estimate,loo_min,loo_max,all_positive,exclusions
author_reviewer_pair,automation_no_human,0.0916708116217344,0.0767048869618161,0.128071384200259,True,23
author_reviewer_pair,automation_then_human,0.22437550837136422,0.20153043088155465,0.2533688382405511,True,23
author_reviewer_pair,human_first,0.16239446176019384,0.15366452348104115,0.2208958712666224,True,23
author_reviewer_pair,movement_only,0.20024478964380302,0.15639751358892065,0.28133323218559264,True,23
author_reviewer_pair,other_activity,0.07869286596529827,0.03304245725516691,0.11845641851712004,True,23
repository,automation_no_human,0.0916708116217344,0.08466904165998945,0.1067107153761625,True,641
repository,automation_then_human,0.22437550837136422,0.21264269339591257,0.24041163874710045,True,641
repository,human_first,0.16239446176019384,0.15492800799161305,0.17579298181545108,True,641
repository,movement_only,0.20024478964380302,0.14308104776073183,0.2691856077260211,True,641
repository,other_activity,0.07869286596529827,0.036275884017285896,0.10532355114771307,True,641
