bin_index,edge_active,person_periods,merges,bin_start_days,bin_end_days,merge_hazard
0,0,3940,1921,0.0,0.25,0.4875634517766497
1,0,1638,156,0.25,0.5,0.09523809523809523
1,1,168,23,0.25,0.5,0.13690476190476192
2,0,1450,238,0.5,1.0,0.16413793103448276
2,1,150,41,0.5,1.0,0.2733333333333333
3,0,1140,130,1.0,2.0,0.11403508771929824
3,1,124,17,1.0,2.0,0.13709677419354838
4,0,958,75,2.0,3.0,0.07828810020876827
4,1,109,19,2.0,3.0,0.1743119266055046
5,0,852,80,3.0,5.0,0.09389671361502347
5,1,93,18,3.0,5.0,0.1935483870967742
6,0,719,61,5.0,7.0,0.08484005563282336
6,1,81,7,5.0,7.0,0.08641975308641975
7,0,631,32,7.0,10.0,0.05071315372424723
7,1,70,9,7.0,10.0,0.12857142857142856
8,0,552,40,10.0,14.0,0.07246376811594203
8,1,58,5,10.0,14.0,0.08620689655172414
9,0,490,43,14.0,21.0,0.08775510204081632
9,1,48,7,14.0,21.0,0.14583333333333334
10,0,409,24,21.0,30.0,0.05867970660146699
10,1,39,3,21.0,30.0,0.07692307692307693
