sample,exposure,outcome,exposure_window_hours,outcome_window,prs,exposed_prs,unexposed_prs,exposed_outcome_rate,unexposed_outcome_rate,selection_free,note,estimate,ci_low,ci_high,p_value,n_prs,repositories,estimable,formula,permutation_p,published_estimate,difference_from_published,interpretation
all_open_at_48h,exact_parent_reply_48_96h,merged_from_96h_to_30d,"(48, 96]","(96h, 30d]",1067,17,1050,0.35294117647058826,0.24857142857142858,True,no conditioning after hour 48; the exposure cannot have changed cohort membership,0.04902235590053863,-0.288787932788254,0.3868326445893312,0.7760838845092981,1067,469,True,merged_from_96h_to_30d ~ exact_parent_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.6501749125437282,0.17346523604933012,-0.12444288014879148,observational later-merge probability difference; not a causal effect
all_open_at_48h,any_reply_48_96h,merged_from_96h_to_30d,"(48, 96]","(96h, 30d]",1067,232,835,0.25862068965517243,0.24790419161676647,True,no conditioning after hour 48; the exposure cannot have changed cohort membership,-0.012724186834117173,-0.1030685685249255,0.07762019485669115,0.7825149224977743,1067,469,True,merged_from_96h_to_30d ~ any_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.6696651674162919,0.17346523604933012,-0.18618942288344728,observational later-merge probability difference; not a causal effect
all_open_at_48h,human_reply_48_96h,merged_from_96h_to_30d,"(48, 96]","(96h, 30d]",1067,198,869,0.26262626262626265,0.2474108170310702,True,no conditioning after hour 48; the exposure cannot have changed cohort membership,-0.0143430182352648,-0.09972792670424382,0.07104189023371421,0.74197719525559,1067,469,True,merged_from_96h_to_30d ~ human_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.6491754122938531,0.17346523604933012,-0.1878082542845949,observational later-merge probability difference; not a causal effect
all_open_at_48h,exact_parent_reply_48_96h,merged_from_48h_to_30d,"(48, 96]","(48h, 30d]",1067,17,1050,0.7058823529411765,0.3914285714285714,True,no conditioning after hour 48; the exposure cannot have changed cohort membership,0.2624330094796433,0.05019257756237039,0.47467344139691625,0.015372838007525416,1067,469,True,merged_from_48h_to_30d ~ exact_parent_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.031484257871064465,0.17346523604933012,0.0889677734303132,observational later-merge probability difference; not a causal effect
all_open_at_48h,any_reply_48_96h,merged_from_48h_to_30d,"(48, 96]","(48h, 30d]",1067,232,835,0.7327586206896551,0.3029940119760479,True,no conditioning after hour 48; the exposure cannot have changed cohort membership,0.403997304072149,0.3253100344197665,0.4826845737245315,8.06091988672869e-24,1067,469,True,merged_from_48h_to_30d ~ any_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.0004997501249375312,0.17346523604933012,0.2305320680228189,observational later-merge probability difference; not a causal effect
all_open_at_48h,human_reply_48_96h,merged_from_48h_to_30d,"(48, 96]","(48h, 30d]",1067,198,869,0.7575757575757576,0.3141542002301496,True,no conditioning after hour 48; the exposure cannot have changed cohort membership,0.41579682376516863,0.33502950688054495,0.4965641406497923,6.113425317212385e-24,1067,469,True,merged_from_48h_to_30d ~ human_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.0004997501249375312,0.17346523604933012,0.24233158771583851,observational later-merge probability difference; not a causal effect
all_open_at_48h,exact_parent_reply_by_48h,merged_from_48h_to_30d,"(0, 48]","(48h, 30d]",1067,109,958,0.5504587155963303,0.37891440501043844,True,no conditioning after hour 48; the exposure cannot have changed cohort membership,0.1734652360493298,0.07255437972242937,0.2743760923762303,0.000753954938839768,1067,469,True,merged_from_48h_to_30d ~ exact_parent_reply_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.0004997501249375312,0.17346523604933012,-3.0531133177191805e-16,observational later-merge probability difference; not a causal effect
all_open_at_48h,exact_parent_reply_by_48h,merged_from_48h_to_96h,"(0, 48]","(48h, 96h]",1067,109,958,0.29357798165137616,0.12943632567849686,True,no conditioning after hour 48; the exposure cannot have changed cohort membership,0.1428899360494252,0.049303779534965717,0.2364760925638847,0.0027667791892661987,1067,469,True,merged_from_48h_to_96h ~ exact_parent_reply_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.0009995002498750624,0.17346523604933012,-0.03057529999990491,observational later-merge probability difference; not a causal effect
all_open_at_48h,exact_parent_reply_by_48h,merged_from_96h_to_30d,"(0, 48]","(96h, 30d]",1067,109,958,0.25688073394495414,0.24947807933194155,True,no conditioning after hour 48; the exposure cannot have changed cohort membership,0.03057529999990457,-0.06554192438640852,0.12669252438621767,0.5329737904353062,1067,469,True,merged_from_96h_to_30d ~ exact_parent_reply_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.4927536231884058,0.17346523604933012,-0.14288993604942554,observational later-merge probability difference; not a causal effect
unexposed_at_48h,exact_parent_reply_48_96h,merged_from_96h_to_30d,"(48, 96]","(96h, 30d]",958,16,942,0.375,0.24734607218683652,True,pull requests open at hour 48 that had not yet been replied to; the exposure had not occurred at the landmark,0.08259323959711833,-0.230756438143443,0.39594291733767967,0.6054279924808101,958,439,True,merged_from_96h_to_30d ~ exact_parent_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.4752623688155922,0.17346523604933012,-0.09087199645221179,observational later-merge probability difference; not a causal effect
unexposed_at_48h,any_reply_48_96h,merged_from_96h_to_30d,"(48, 96]","(96h, 30d]",958,189,769,0.2751322751322751,0.24317295188556567,True,pull requests open at hour 48 that had not yet been replied to; the exposure had not occurred at the landmark,0.004604033550941092,-0.10020610096831714,0.10941416807019932,0.9313900532848326,958,439,True,merged_from_96h_to_30d ~ any_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.9030484757621189,0.17346523604933012,-0.16886120249838904,observational later-merge probability difference; not a causal effect
unexposed_at_48h,human_reply_48_96h,merged_from_96h_to_30d,"(48, 96]","(96h, 30d]",958,160,798,0.28125,0.24310776942355888,True,pull requests open at hour 48 that had not yet been replied to; the exposure had not occurred at the landmark,0.00703250091593044,-0.09296291890357317,0.10702792073543405,0.8903662395443437,958,439,True,merged_from_96h_to_30d ~ human_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.8590704647676162,0.17346523604933012,-0.16643273513339968,observational later-merge probability difference; not a causal effect
unexposed_at_48h,exact_parent_reply_48_96h,merged_from_48h_to_30d,"(48, 96]","(48h, 30d]",958,16,942,0.6875,0.37367303609341823,True,pull requests open at hour 48 that had not yet been replied to; the exposure had not occurred at the landmark,0.2876309778558685,0.07296171973958432,0.5023002359721527,0.00863653981002858,958,439,True,merged_from_48h_to_30d ~ exact_parent_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.015492253873063468,0.17346523604933012,0.11416574180653838,observational later-merge probability difference; not a causal effect
unexposed_at_48h,any_reply_48_96h,merged_from_48h_to_30d,"(48, 96]","(48h, 30d]",958,189,769,0.7248677248677249,0.293888166449935,True,pull requests open at hour 48 that had not yet been replied to; the exposure had not occurred at the landmark,0.400381114802861,0.3141599091069008,0.4866023204988212,8.918544200796012e-20,958,439,True,merged_from_48h_to_30d ~ any_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.0004997501249375312,0.17346523604933012,0.22691587875353086,observational later-merge probability difference; not a causal effect
unexposed_at_48h,human_reply_48_96h,merged_from_48h_to_30d,"(48, 96]","(48h, 30d]",958,160,798,0.75,0.30451127819548873,True,pull requests open at hour 48 that had not yet been replied to; the exposure had not occurred at the landmark,0.4146810773121071,0.32621238157204996,0.5031497730521644,4.040317311010993e-20,958,439,True,merged_from_48h_to_30d ~ human_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.0004997501249375312,0.17346523604933012,0.241215841262777,observational later-merge probability difference; not a causal effect
still_open_at_96h,exact_parent_reply_48_96h,merged_from_96h_to_30d,"(48, 96]","(96h, 30d]",857,11,846,0.5454545454545454,0.30851063829787234,False,"SECONDARY: conditions on survival past the exposure window, so it re-introduces exactly the structure being tested",0.21356381817944278,-0.10545340285116231,0.5325810392100478,0.1894917932412965,857,390,True,merged_from_96h_to_30d ~ exact_parent_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.12443778110944528,0.17346523604933012,0.040098582130112664,observational later-merge probability difference; not a causal effect
still_open_at_96h,any_reply_48_96h,merged_from_96h_to_30d,"(48, 96]","(96h, 30d]",857,108,749,0.5555555555555556,0.27636849132176233,False,"SECONDARY: conditions on survival past the exposure window, so it re-introduces exactly the structure being tested",0.2549735837800081,0.13527944964391825,0.374667717916098,2.9781078693309232e-05,857,390,True,merged_from_96h_to_30d ~ any_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.0004997501249375312,0.17346523604933012,0.081508347730678,observational later-merge probability difference; not a causal effect
still_open_at_96h,human_reply_48_96h,merged_from_96h_to_30d,"(48, 96]","(96h, 30d]",857,86,771,0.6046511627906976,0.2788586251621271,False,"SECONDARY: conditions on survival past the exposure window, so it re-introduces exactly the structure being tested",0.2924442982228981,0.17038929139910908,0.4144993050466871,2.651994170894499e-06,857,390,True,merged_from_96h_to_30d ~ human_reply_48_96h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.0004997501249375312,0.17346523604933012,0.11897906217356796,observational later-merge probability difference; not a causal effect
still_open_at_96h,exact_parent_reply_by_48h,merged_from_96h_to_30d,"(0, 48]","(96h, 30d]",857,72,785,0.3888888888888889,0.30445859872611464,False,"SECONDARY: conditions on survival past the exposure window, so it re-introduces exactly the structure being tested",0.0929739163354128,-0.029079090656245588,0.21502692332707118,0.13543635459997105,857,390,True,merged_from_96h_to_30d ~ exact_parent_reply_by_48h + C(author_agent) + C(trigger_reviewer_agent) + C(trigger_month) + log1p_trigger_age_hours + log1p_pre_events + pre_user_events + pre_bot_events + pre_decisive_reviews + pre_force_pushes,0.10594702648675662,0.17346523604933012,-0.08049131971391732,observational later-merge probability difference; not a causal effect
