excluded_repository_rank,excluded_exposed_prs,estimate,ci_low,ci_high
1,30,0.16075483112567412,0.06183028454886606,0.2596793777024822
2,21,0.12459019256625085,0.03342411650261516,0.21575626862988656
3,14,0.13912165863014608,0.04903553018577461,0.22920778707451755
4,12,0.14033452436032814,0.04720082162499077,0.2334682270956655
5,12,0.11673248118368189,0.03252618600591807,0.2009387763614457
6,11,0.13441529792035734,0.044768600007452475,0.2240619958332622
7,10,0.13745385886464975,0.04733239306158438,0.22757532466771513
8,9,0.11405459427715378,0.03303042116467031,0.19507876738963725
9,8,0.12308731483819499,0.035923549437904656,0.21025108023848532
10,7,0.13433132038175885,0.044742047183352965,0.22392059358016475
11,6,0.13432537455968882,0.04353066866598394,0.2251200804533937
12,5,0.13416519785976372,0.044212243157880055,0.22411815256164738
13,5,0.13250146720097863,0.04169820153434246,0.22330473286761482
14,5,0.13453807274138962,0.04462838754144591,0.22444775794133334
15,4,0.1343154139410821,0.044333767547416345,0.22429706033474783
