login,comments,comments_with_text,distinct_normalised_texts,duplicate_normalised_text_share,distinct_text_share,inter_comment_gaps,median_gap_seconds,mean_gap_seconds,inter_comment_gap_cv,narrow_band_gap_share,active_utc_hours,min_hour_share_of_uniform,hour_entropy_normalised,active_days,observed_span_days,comments_per_active_day,flag_template,flag_timing,flag_clock,flag_volume,score_template,score_timing,score_clock,score_volume,machine_likeness_score,edge_events_written,edge_prs_written,heuristics_tripped,flag_any,flag_combined,scoreable_template,scoreable_timing,scoreable_clock,scoreable_volume
marcellodebernardi,109,109,65,0.44036697247706424,0.5963302752293578,101,157.0,7133.475247524752,4.664142530916467,0.0297029702970297,16,0.0,0.708991322051366,6,8.338900462962963,18.166666666666668,False,False,False,False,0.44036697247706424,0.0,0.4726608813675773,0.9699953669395402,0.47075580519604543,1,1,0,False,False,True,True,True,True
weiguangli-io,258,257,178,0.3657587548638132,0.6926070038910506,240,135.0,17389.333333333332,4.318969906176444,0.020833333333333332,20,0.0,0.8317020584585274,28,48.303703703703704,9.214285714285714,False,False,False,False,0.3657587548638132,0.0,0.6930850487154395,0.7632682459000983,0.45552801236983775,1,1,0,False,False,True,True,True,True
PeterDaveHello,152,148,75,0.5608108108108109,0.5067567567567568,151,222.0,156752.80794701987,5.979568846320286,0.013245033112582781,16,0.0,0.689810732521031,17,273.9545601851852,8.941176470588236,True,False,False,False,0.5608108108108109,0.0,0.4598738216806873,0.7543663802275113,0.4437627531797524,3,1,1,True,False,True,True,True,True
jcstein,152,91,75,0.23076923076923078,0.8241758241758241,151,253.0,176884.00662251655,5.699980195810963,0.052980132450331126,23,0.0,0.9218251595970185,26,309.13755787037036,5.846153846153846,False,False,False,False,0.23076923076923078,0.0,0.8834157779471428,0.6318518098060274,0.4365092046306003,1,1,0,False,False,True,True,True,True
yamcodes,152,138,71,0.5217391304347826,0.5144927536231884,151,1731.0,76245.85430463577,2.8575296080889174,0.019867549668874173,19,0.0,0.8490603238974613,38,133.25375,4.0,True,False,False,False,0.5217391304347826,0.0,0.6721727564188236,0.5286339468194481,0.43063645841826353,1,1,1,True,False,True,True,True,True
rvdbreemen,438,437,372,0.1945080091533181,0.851258581235698,437,660.0,21147.443935926774,5.092238594819477,0.038901601830663615,20,0.0,0.9074987931857312,55,106.9610300925926,7.963636363636364,False,False,False,False,0.1945080091533181,0.0,0.7562489943214428,0.7203678191480802,0.4177812056557103,1,1,0,False,False,True,True,True,True
OliverZhaohaibin,665,664,553,0.1927710843373494,0.8328313253012049,664,1125.0,17021.864457831325,6.23594477358722,0.05572289156626506,19,0.0,0.8537937850000562,65,130.81618055555555,10.23076923076923,False,False,False,False,0.1927710843373494,0.0,0.6759200797917111,0.7944291144904088,0.4157800696548673,1,1,0,False,False,True,True,True,True
Borda,144,128,89,0.3515625,0.6953125,143,1311.0,156430.86713286713,5.955090181864432,0.027972027972027972,22,0.0,0.8429288841165802,35,258.90756944444445,4.114285714285714,False,False,False,False,0.3515625,0.0,0.7726848104401984,0.536057059107016,0.4150760923868036,1,1,0,False,False,True,True,True,True
clairernovotny,153,153,141,0.10457516339869281,0.9215686274509803,143,1019.0,143161.95104895104,5.6461068917279835,0.04195804195804196,22,0.0,0.9144555544307312,23,236.94628472222223,6.6521739130434785,False,False,False,False,0.10457516339869281,0.0,0.8382509248948369,0.6684101762214928,0.4028090661287556,2,2,0,False,False,True,True,True,True
chmouel,576,571,467,0.21541155866900175,0.8178633975481612,571,1188.0,31601.711033274958,4.121016193090571,0.01926444833625219,20,0.0,0.8618619660541317,99,208.84927083333332,5.818181818181818,False,False,False,False,0.21541155866900175,0.0,0.7182183050451098,0.6305070433881702,0.3910342267755704,6,6,0,False,False,True,True,True,True
