"acquisition_id","asset_kind","title","canonical_url","pinned_version","retrieved_date","license","local_path","payload_files","payload_bytes","total_local_files","total_local_bytes","integrity_evidence","analytical_verdict","public_release_policy"
"codage_metadata","hf_metadata_subset","CodAGE: Coding Agent-generated GitHub Events","https://huggingface.co/datasets/taher-ghaleb/CodAGE","HF revision 48549adf5869643ca301a31bc94ceeeaacf0d1e7","2026-08-26","CC BY 4.0","external_data/downloads/CodAGE-metadata","2","27318","6","27722","HF cache metadata pins both payload files to the stated revision; deterministic payload-tree SHA256 86800162385fc81dd56eabc9df6ded6650e07d5513ebbd94dd48d2acd2fa8dfb","APPENDIX_ONLY: attribution crosswalk and novelty-boundary audit; not independent outcome replication","EXCLUDE_LOCAL_COPY_FROM_VCS_AND_SUBMISSION_ARCHIVE"
"swe_prbench_dataset","hf_dataset","SWE-PRBench","https://huggingface.co/datasets/foundry-ai/swe-prbench","HF revision b87f5797aef3ed2c3153bb1304ea4d801d36ba6e","2026-08-26","CC BY 4.0","external_data/downloads/swe-prbench","1407","41381855","2816","41528061","HF per-file cache metadata pins the payload to the stated revision; deterministic payload-tree SHA256 6012a922cddd529e472b3d06d888469e167d4ca0152f79534f2d1fa4f9099cc0","SEMANTIC_VALIDATION_ONLY: human review-issue construct; no reply-parent or merge-outcome replication","EXCLUDE_LOCAL_COPY_FROM_VCS_AND_SUBMISSION_ARCHIVE"
"swe_rebench_metadata","hf_metadata_subset","SWE-rebench normalized agent trajectories","https://huggingface.co/datasets/ibragim-bad/swe_rebench_07_2026_trajectories","HF revision cdae27cdd16673f0c682871ad55d325f24cc7020","2026-08-26","Custom/other: third-party repository content and model outputs are not relicensed","external_data/downloads/swe-rebench-metadata","4","105318","10","105927","HF cache metadata pins all four payload files to the stated revision; deterministic payload-tree SHA256 1e73c7794847b6194d24d930f92788d8e689194de7efe308f86d6703e99e52c4","DO_NOT_USE_CURRENT_RQS: controlled private trajectories do not reproduce public PR reply topology","EXCLUDE_LOCAL_COPY_FROM_VCS_AND_SUBMISSION_ARCHIVE"
"swe_review_chat_dataset","hf_dataset","SWE-Review-Chat","https://huggingface.co/datasets/Suzhen/SWE-Review-Chat","HF revision 408cf94c068080eda66e0f3d7e9aa0316a42cb63","2026-08-26","Apache-2.0","external_data/downloads/SWE-Review-Chat","295","1829746197","592","1829784032","protocol/swe_review_chat_file_manifest_20260826.csv records 295/295 byte-size matches and 293/293 LFS SHA256 matches; profile: protocol/swe_review_chat_profile_20260826.json","REJECT_EXACT_EDGE_REPLICATION: full scan found seven exact candidates and all seven overlap AIDev; zero disjoint landmark rows remain","EXCLUDE_LOCAL_COPY_FROM_VCS_AND_SUBMISSION_ARCHIVE"
"trace_commons_agent_traces","hf_dataset","Trace Commons Agent Traces","https://huggingface.co/datasets/trace-commons/agent-traces","HF revision 112ebd4d03ce852b00e935d523107c3d0c9a65bf","2026-08-26","CC BY 4.0 compilation; embedded content may retain original terms","external_data/downloads/trace-commons-agent-traces","2","70210396","6","70210824","HF cache metadata pins both payload files to the stated revision; deterministic payload-tree SHA256 e374e7884a592c3b85b79060c36fc4eef9e7d59bf92c911be399cbf0138eb138","DO_NOT_USE: 30 opt-in sessions with no stable public PR edge or outcome","EXCLUDE_LOCAL_COPY_FROM_VCS_AND_SUBMISSION_ARCHIVE"
"ai_review_action_archive","zenodo_record","Does AI Code Review Lead to Code Changes? A Case Study of GitHub Actions (Online Appendix)","https://doi.org/10.5281/zenodo.19562450","Zenodo record 19562450; DOI 10.5281/zenodo.19562450","2026-08-26","CC BY 4.0","external_data/downloads/zenodo-19562450","1","44349100","1","44349100","AIReviewActionAnalysis.zip MD5 93cabf0873330f4d75d570d5bf5f31b0 matches the Zenodo record","APPENDIX_CONSTRUCT_CHECK: actionability transfer gate failed; no AIDev scoring or headline replication","EXCLUDE_LOCAL_COPY_FROM_VCS_AND_SUBMISSION_ARCHIVE"
"github_bot_human_activities","zenodo_record","A Dataset of Bot and Human Activities in GitHub","https://doi.org/10.5281/zenodo.7740521","Zenodo record 7740521; DOI 10.5281/zenodo.7740521","2026-08-26","CC BY 4.0","external_data/downloads/zenodo-7740521","3","437116442","3","437116442","Zenodo MD5 matches: bot_activities.json ce40e8bbae6c6bc8c9e92e2c0d09b5ae; human_activities.json b0a9ad650bf47ed185590be5872d251a; JsonSchema.json 02e393ee6a3f924fdc75baa229f4521f","DO_NOT_USE_CURRENT_RQS: anonymized human actors and no exact review-reply parent edge","EXCLUDE_LOCAL_COPY_FROM_VCS_AND_SUBMISSION_ARCHIVE"
"devgpt_zenodo_archive","zenodo_record","DevGPT: Studying Developer Conversations with ChatGPT","https://doi.org/10.5281/zenodo.8242142","Zenodo v1 record 8242142; DOI 10.5281/zenodo.8242142","2026-08-26","CC BY 4.0","external_data/downloads/zenodo-8242142","1","301928949","1","301928949","DevGPT.zip MD5 16ce3b38a2bf455ebb67b94c58608fb6 matches the Zenodo record","DO_NOT_USE_CURRENT_RQS: useful mechanism context but no multi-agent review edge","EXCLUDE_LOCAL_COPY_FROM_VCS_AND_SUBMISSION_ARCHIVE"
"ai_ai_codereviews_repo","git_repository","AI-to-AI Code Reviews analysis repository","https://github.com/Niruthiha/AI-AI-CodeReviews","Git commit f3d01cd621b4e231e25835c59ecbb851c8269f10; tree f6b9839bd0ca612bc7d9ec7afc753c36534b26b7","2026-08-26","Code MIT; cohorts and CodAGE data CC BY 4.0","external_data/source_repositories/AI-AI-CodeReviews","21","9051486","50","16532626","Shallow clone HEAD and tree resolve; git status is clean","APPENDIX_ONLY: attribution sensitivity and closest-work collision audit; same GH Archive universe is not independent replication","EXCLUDE_LOCAL_COPY_FROM_VCS_AND_SUBMISSION_ARCHIVE"
"devgpt_partial_repo","partial_git_repository","DevGPT GitHub repository (interrupted clone)","https://github.com/NAIST-SE/DevGPT","Observed HEAD 685efd2509dede9a6e996b839ae4e20d33430648; tree 44bd036b90902dcf8174be3613d6f5b646022ed1; integrity not accepted","2026-08-26","No LICENSE found in the repository snapshot; related Zenodo v1 record declares CC BY 4.0","external_data/source_repositories/DevGPT","18","1154491471","106","5332893728","INCOMPLETE: git status reports 82 deletion/untracked records after interrupted LFS checkout; do not treat HEAD as a valid working-tree snapshot","DO_NOT_USE: incomplete redundant clone; verified Zenodo archive is the only accepted DevGPT copy","EXCLUDE_LOCAL_COPY_FROM_VCS_AND_SUBMISSION_ARCHIVE"
