relative_path,is_parquet,remote_bytes,local_bytes,bytes_match,hub_blob_oid,hub_lfs_sha256,local_sha256,sha256_match
.gitattributes,False,2504,2504,True,bed0738c7eeb449bca98b5d2f33c89a1ee56349a,,9e75dd981de037ec3769f24f790e126bc5a160b6871f510214e68dc70649aeeb,
README.md,False,2533,2533,True,3e369a2d75cd1270380fe8331a668488a6d9855c,,00a0b0eda2927cf53122136745c275e7b0139999c3f2723a6990922ad87c99fa,
train-00001.parquet,True,8082932,8082932,True,8eab75e9b8f07f9e5759b1171f0d508c6cc0d53e,9c507e267756b3bd399c49b64d98a49986587d63891a8cfafde307462c13b7f0,9c507e267756b3bd399c49b64d98a49986587d63891a8cfafde307462c13b7f0,True
train-00002.parquet,True,8020462,8020462,True,56af89192821ea6fc317f0e26f9d14c77fce00c8,5f0857d9bce3926e8bfeff71cfdba4773e44fb1d108f0c0b176cc86ab4a8be12,5f0857d9bce3926e8bfeff71cfdba4773e44fb1d108f0c0b176cc86ab4a8be12,True
train-00003.parquet,True,5241243,5241243,True,65bc7cda2231e7568d20f6e96376614fb04df29d,a81b2e708645a898c654ddb68b891ae8f1e698e502819e87576410008add3e4b,a81b2e708645a898c654ddb68b891ae8f1e698e502819e87576410008add3e4b,True
train-00004.parquet,True,4486079,4486079,True,136b3c256204da78f6371392cb24ee25e1f7d066,8e20b27d18c94d0419c7330a853f71cff8fea05050b5d9efbc670ed211bf8d02,8e20b27d18c94d0419c7330a853f71cff8fea05050b5d9efbc670ed211bf8d02,True
train-00005.parquet,True,4708422,4708422,True,428138267308704f0b75084b19bb52e9fe5f980a,8f2020d1e85877c5774a11394e91be5cf319888e2970b6d14abdba4c5e98eba4,8f2020d1e85877c5774a11394e91be5cf319888e2970b6d14abdba4c5e98eba4,True
train-00006.parquet,True,5208644,5208644,True,de5d7d99a417c6dabc6a0be68a2b9469c8e33bdd,05f7518154a853ad9c410db4d8e84e28e35146678eb12d0861aeb3099e355461,05f7518154a853ad9c410db4d8e84e28e35146678eb12d0861aeb3099e355461,True
train-00007.parquet,True,5727074,5727074,True,3a634e518a53a397af2a46e4f5d5c8307447aaf3,485cc1032d8274f11edd5fcac763f8a96e010984bb571053fc0012800ebbcdea,485cc1032d8274f11edd5fcac763f8a96e010984bb571053fc0012800ebbcdea,True
train-00008.parquet,True,4122509,4122509,True,d2db2d68cc4959802ebf50e0fc81daa1f4b89d93,d40d85ba9e327fb16ac25d25864015aaff4154981316f9752c533ae70beb861f,d40d85ba9e327fb16ac25d25864015aaff4154981316f9752c533ae70beb861f,True
train-00009.parquet,True,3963941,3963941,True,0cab80e9d1bfbaaa44936320955f4ac1015ee89d,5f020c28c93509476917644d36cbc0a74c88d5e847757dd6f3b9013b0c1ac14f,5f020c28c93509476917644d36cbc0a74c88d5e847757dd6f3b9013b0c1ac14f,True
train-00010.parquet,True,4294017,4294017,True,85913e2fc08ad6f8985247d41a1a1ef6b8c96c99,0678de9568c164cba27be8bfd5c7455b0ec9125e6cf9eda7867b32cf1f4b7457,0678de9568c164cba27be8bfd5c7455b0ec9125e6cf9eda7867b32cf1f4b7457,True
train-00011.parquet,True,5289276,5289276,True,e4513842d22af2baa192b48c87c9baaff4a1038b,d015de30ff38dc7ded771aeedb7638f95aee29d601c17bfa84114d1beeb3ea7c,d015de30ff38dc7ded771aeedb7638f95aee29d601c17bfa84114d1beeb3ea7c,True
train-00012.parquet,True,6298961,6298961,True,106d7fa810762afacdae3f1259713c8ff2b5163b,b6ebcf974f71eb66afb0fb1ec5bc52ab1f6863d351f2871cd0a66f42203b8669,b6ebcf974f71eb66afb0fb1ec5bc52ab1f6863d351f2871cd0a66f42203b8669,True
train-00013.parquet,True,6841487,6841487,True,c5e74e22c2537acc971b8004d8fbafc8054525c8,f53b725de1793270578b9f6146eada286d81b7e2062003b418cf8105c8987ac6,f53b725de1793270578b9f6146eada286d81b7e2062003b418cf8105c8987ac6,True
train-00014.parquet,True,6979267,6979267,True,cd5e9ea313679179f3de0e231e786ce305503e39,4955256e33947c136605099efc58b2c7533e5a778e069fc1b8ebfcd5d245b189,4955256e33947c136605099efc58b2c7533e5a778e069fc1b8ebfcd5d245b189,True
train-00015.parquet,True,6488359,6488359,True,f100b3eb3417e53f74e4d1ae12bafbab405f77de,6f46cd3159b87eaa97027af50d3599d0e192c107749f1ce212331b1c28ef3e02,6f46cd3159b87eaa97027af50d3599d0e192c107749f1ce212331b1c28ef3e02,True
